aX,aY,aZ,gX,gY,gZ
-3.72,-3.94,1.9,-119.2,159.79,-0.37
-4,-3.96,2.26,349.18,-14.95,630.19
-4,0.87,1.23,246.15,-284.12,1114.32
-4,4,4,87.59,-459.23,1020.32
-4,4,2.64,-184.45,77.03,634.52
-2.08,4,-1.23,-195.68,291.93,280.58
-0.62,3.52,0.2,31.43,-52.43,34
-0.4,1.95,0.63,-24.72,9.77,11.41
-0.23,1.55,0.37,-0.55,-0.31,-33.57
-0.39,0.92,0.82,-40.22,-13.43,-73.06
-2.52,-3.84,1.51,79.35,110.6,100.28
-4,-4,0.7,641.48,-181.82,368.35
-4,-3.04,1.41,455.81,-714.48,696.59
-4,4,4,-298.89,-614.01,1102.72
-4,4,3.08,135.68,164.86,611.02
-3.25,4,-0.66,-12.45,-12.82,308.72
-1.47,3.79,1.33,-321.47,-15.75,247.68
-0.75,3.04,0.75,140.81,69.09,79.83
-0.59,1.77,-0.13,-17.27,52.67,-3.05
-0.2,1.62,0.6,-112.61,6.16,-10.86
-4,4,1.35,335.02,-226.68,1052.12
-4,4,3.42,-95.4,-132.14,765.5
-2.6,4,0.22,-28.5,227.54,505.98
-0.75,4,0.74,-57.37,-57.98,54.26
-0.57,1.73,1.35,-94.18,-9.09,-47.36
-0.19,1.63,0.69,-58.35,34.85,-51.45
-0.37,1.36,0.38,-74.1,13.67,-99
-0.54,1.42,0.42,-71.23,-18.31,-120.73
-0.59,1.67,0.25,35.83,-52,-189.15
-0.93,1.91,0.07,-44.37,-34.18,-275.57
-2.7,4,1.48,243.84,-304.99,525.82
-1.36,2.59,2.39,-50.05,-8.12,-87.4
-1,0.85,0.33,-25.09,225.59,18.55
-0.26,1.41,-0.17,97.35,-7.45,23.07
-0.23,0.95,0.95,-172.85,20.26,-22.71
-0.18,1.12,0.82,-105.9,57.01,-38.02
-0.34,1.34,0.29,-44.62,57.5,-111.88
-0.6,1.72,0.26,-200.07,63.17,-174.44
-0.93,2,0.55,-365.6,11.17,-206.67
-1.05,2.57,0.47,-289.98,-95.4,-295.53
-4,4,0.56,5.68,200.13,474.98
-0.5,4,3.04,-44.49,-203,581.36
-2.35,0.17,1.98,-0.43,-43.52,-372.07
-0.58,0.87,-0.02,161.93,136.6,31.37
-0.62,0.95,-0.35,-46.45,76.9,-65.19
-0.58,0.8,0.11,-120.54,24.11,-117.07
-0.66,0.69,0.27,-119.45,24.54,-103.27
-0.58,1.09,0.15,-92.65,31.19,-103.76
-0.75,1.53,-0.03,-24.78,11.96,-176.45
-0.84,1.67,-0.13,-64.94,-28.5,-226.14
-3.51,-3.36,1.23,-134.58,214.29,-5.49
-4,-3.02,2.13,158.33,71.04,527.77
-4,0.45,2.01,360.53,-65,1031.49
-4,4,3.99,460.33,-327.09,1118.71
-4,4,4,75.2,-233.89,670.23
-2.64,4,-0.28,-158.33,214.78,529.54
-1.05,3.98,0.93,4.88,-130.37,62.56
-0.53,1.62,1.09,-84.78,16.17,-33.87
-0.02,1.22,0.49,-44.92,41.38,-38.7
-0.03,1.12,0.29,-109.99,38.21,-80.93
-3.83,-3.87,1.01,-75.2,37.66,143.25
-4,-2.17,1.8,264.59,-66.53,749.39
-4,1.6,2.79,392.09,-359.68,1087.46
-4,4,4,466.43,-612.98,974.79
-4,4,3.29,-310.18,-44.25,645.45
-2.32,4,1.05,62.13,43.82,235.17
-0.7,2.94,1.54,8.79,69.4,27.4
-0.64,1.38,0.61,39.49,41.2,33.63
-0.28,1.25,0.48,0.18,38.76,9.09
-0.25,1.01,0.51,-73.91,54.14,-19.17
-3.09,-3.28,0.82,-44.37,36.62,133.36
-4,-2.24,2.12,161.62,-6.59,632.32
-4,0.85,2.83,561.95,-237.61,1078.06
-4,4,4,635.99,-515.87,1065.25
-4,4,4,-81.97,-135.38,764.83
-3.03,4,1.54,138.67,-101.56,520.39
-1.15,3.24,2.52,-58.78,72.94,35.52
-1.07,1.06,0.38,128.3,52.31,52.06
-0.31,1.5,0.21,9.52,20.87,52.19
-0.34,1,0.7,-143.74,53.04,8.42
-3.81,-2.92,1.75,-213.2,126.22,216.98
-4,-2.13,1.96,202.09,132.08,637.08
-4,1.4,1,341.74,-74.4,972.78
-4,4,3.75,322.88,-486.69,869.2
-4,4,4,-184.33,-93.26,832.76
-1.15,4,1.02,96.37,1.16,412.41
-0.35,3.38,1.56,-26.73,7.26,70.74
-0.46,1.14,0.88,27.4,1.95,21.24
0.03,0.99,0.95,-88.62,14.95,19.1
-0.04,0.95,1,-117.25,14.89,2.5
-4,-3.24,2.12,88.38,-55.73,694.52
-4,0.33,3.42,507.39,-177.55,974.12
-4,4,4,616.88,-385.07,821.59
-4,4,2.86,-141.24,-86.61,589.05
-1.55,4,2.29,62.19,-84.35,211.73
-0.47,2.5,2.06,-23.93,-4.15,22.58
-0.36,1.25,1.26,7.87,34.97,-27.71
-0.24,0.88,0.97,-45.04,49.74,-46.45
-0.27,0.87,0.85,-111.76,51.94,-62.07
-0.29,1.02,0.78,-110.66,55.42,-90.52
-4,4,4,618.1,-526,895.81
-4,4,4,-159,-147.4,747.62
-4,4,0.97,43.03,5.49,514.83
-0.72,4,2.04,27.89,38.82,144.78
-1.49,1.1,1.08,112.92,47.42,75.62
-0.57,1.36,0.38,49.32,40.41,61.83
-0.35,1,0.66,-59.2,54.32,37.9
-0.36,0.77,0.62,-12.45,59.02,21.36
-0.38,1.02,0.33,-6.1,72.14,2.44
-0.62,1.03,0.47,-54.14,55.42,-61.52
-4,-2.73,2.56,314.51,80.14,770.87
-4,2.67,3.82,669.49,-116.27,1038.7
-4,4,4,791.2,-478.58,856.51
-4,4,2.54,-142.4,-179.57,820.86
-1.24,4,4,247.99,-366.82,344.6
-2.64,-0.16,1.72,-235.9,177.25,-40.95
-0.67,1.28,0.49,210.51,15.93,109.62
-0.65,1.19,0.16,-44.62,50.72,38.45
-0.54,0.94,0.8,-122.92,49.62,25.94
-0.44,1.21,0.58,9.95,76.78,-16.78
-4,-2.84,0.87,-36.19,23.01,417.36
-4,-2.43,0.99,-52.61,133.12,768.62
-4,2.23,1.42,389.95,-187.93,992.98
-4,4,3.93,-49.32,-203.43,850.46
-4,4,1.3,143.43,-26.25,724.43
-0.34,4,1.89,23.13,-88.81,266.66
-1.06,1.65,1.03,-74.52,75.32,-61.71
-0.22,1.03,0.54,-21.85,27.22,-4.46
-0.17,1,0.71,-89.11,16.97,-10.93
-0.07,1.06,0.95,-125.79,29.3,-40.59
-4,-2.83,0.94,117.8,88.93,622.19
-4,0.83,-0.25,156.13,3.91,983.34
-4,4,1.42,167.79,-320.56,950.68
-4,4,3.18,-166.75,-63.96,739.38
-2.46,4,-0.33,43.52,108.46,593.32
-0.3,3.83,1.72,-22.64,-130.86,-43.15
