aX,aY,aZ,gX,gY,gZ
-3.38,2.8,-1.51,39.79,108.34,-52.98
-4,4,-0.45,49.07,126.4,-536.99
-4,4,-1.66,336.61,424.01,-1606.87
-4,3,0.07,-273.25,591.43,-1992.37
-4,-4,-3.44,381.41,-243.71,-695.31
-3.61,-3.13,-0.42,-168.46,5.43,-129.33
-0.86,-1.32,0.9,88.75,-184.33,200.2
0.61,0.15,-0.03,80.26,27.34,184.51
0.72,0.37,-0.97,76.97,72.14,134.28
0.91,0.41,-0.81,12.15,0.06,169.07
-4,1.42,-1.82,495.3,286.74,173.83
-4,4,-2.23,229.13,282.17,155.46
-4,4,0.66,-146.73,326.42,-1148.25
-4,4,-3.78,429.57,697.51,-2000
-4,-3.94,-4,143.86,342.22,-1466.61
-4,-3,-2.05,98.75,-252.32,-270.75
-1.6,-2.41,0.56,-32.23,-84.72,56.52
0,-0.84,0.9,50.96,3.54,143.74
0.51,-0.23,-0.57,95.76,135.62,138.06
0.43,-0.24,-1.19,26.92,108.34,212.71
-3.92,1.56,-3.2,303.41,429.87,77.33
-4,3.73,-1.59,-113.1,165.77,-655.94
-4,4,-2.53,139.4,262.45,-1427.06
-4,4,-4,234.74,104.25,-1972.17
-4,-2.99,-2.78,483.83,30.46,-1746.58
-4,-3.09,-3.06,53.83,-19.9,-192.5
-0.68,-1.23,-0.67,-95.76,-56.27,143.92
0.56,-0.4,1.14,-29.91,-132.93,62.93
0.36,-0.49,-0.06,57.56,120.42,20.39
0.61,-0.41,-1.11,63.54,77.33,112.85
-4,1.59,-2.64,199.22,274.78,1.34
-4,4,-3.53,101.07,349.12,-569.09
-4,4,-3.37,247.56,336.85,-1526.06
-4,4,-4,452.88,362.79,-2000
-4,-2.13,-3.93,494.63,25.7,-1271.12
-4,-2.44,-1.72,-19.84,-27.34,-378.66
-2.33,-1.58,0.14,-10.07,-89.17,127.62
0.02,-0.57,0.48,56.09,-95.58,165.59
0.46,-0.51,-0.48,54.26,118.47,113.71
0.31,-0.68,-0.73,45.41,22.09,160.03
-4,4,-3.53,115.91,261.96,-279.05
-4,4,-3.14,226.56,306.15,-1129.33
-4,4,-4,552.19,408.14,-2000
-4,-0.48,-4,394.53,104.61,-1500.73
-4,-1.58,-2.01,-280.09,123.41,-423.16
-3.84,-2.53,1.04,-193.18,-208.62,56.27
-1.42,-1.57,1.75,99.12,-29.17,134.52
-0.22,-0.64,-0.51,177.49,118.16,146.18
0.11,-0.37,-0.32,77.82,-7.08,230.41
0.04,0.07,-0.42,58.11,25.94,297
-4,3.93,-2.37,60.85,306.21,-747.25
-4,4,-2.66,293.64,350.34,-1678.53
-4,4,-3.22,452.58,324.22,-1999.39
-4,-3.38,-4,442.38,98.33,-689.94
-3.98,-1.14,-1.66,-231.75,26.37,17.27
-0.49,-0.93,0.59,-147.46,-100.04,202.33
0.37,-0.64,0.94,-53.28,76.6,114.26
0.11,-0.91,-0.7,89.36,165.16,51.45
0,-0.45,-0.84,104.13,38.09,183.65
-0.29,-0.17,-1.11,18.92,98.08,282.35
-4,4,-2.47,275.39,454.9,-1120.91
-4,4,-4,513.92,689.7,-1968.81
-4,-2.76,-3.82,101.26,130.25,-1251.46
-4,-2.29,-2.13,-46.08,59.57,-518.86
-2.46,-2.29,0.49,-12.27,-187.68,-116.94
-0.54,-0.92,1.48,41.75,-52.73,25.82
-0.2,-0.74,0.04,125.24,104.8,8.73
0.23,-0.73,-0.23,73.61,-0.79,113.16
0.49,-0.11,-0.18,15.01,43.4,149.72
0.12,-0.24,-0.93,115.78,87.59,211
-4,4,-3.74,392.52,-77.03,-1973.33
-4,2.15,-2.52,232.67,80.81,-1990.42
-4,-4,-2.95,40.28,-81.91,-853.27
-3.97,-2.36,-1.63,-229.86,150.33,-86.24
-1.28,-1.35,0.22,32.29,-289,114.32
0.22,-0.52,1.23,-16.91,-139.34,170.23
0.29,-0.92,-0.38,58.84,151.12,63.17
0.52,-0.52,-0.73,53.16,3.72,146.73
0.3,-0.21,-0.61,4.27,-19.41,176.03
-0.17,-0.74,-0.78,64.21,18.8,193.66
-4,4,-4,382.02,-7.93,-1700.56
-4,4,-1.67,207.58,38.15,-1999.27
-4,-2.13,-4,697.88,43.09,-1019.47
-4,-4,-2.82,-140.26,233.22,-146.24
-1.92,-0.94,-0.68,-70.74,-321.35,294.31
0.2,0.09,1.54,-57.8,-99,201.6
0.78,-0.12,-0.4,-29.11,136.84,85.27
0.45,-0.53,-0.45,-29.85,26.18,108.83
0.29,-0.06,-0.71,-7.02,21.24,180.18
-0.43,-0.39,-1.29,-5.92,39.86,275.57
-4,4,-4,410.71,82.52,-1706.6
-4,4,-4,48.65,81.54,-2000
-4,1.15,-4,471.92,-194.64,-1110.9
-4,-2.17,-0.76,-87.1,28.56,-431.82
-3.56,-2.16,0.69,-52.92,-80.02,38.76
-0.53,-0.32,1.28,76.35,-125.61,224.61
0.54,-0.23,-0.04,110.96,60.12,180.11
0.45,-0.38,-0.18,92.59,-2.38,172.61
0.28,-0.1,-0.54,80.93,2.62,229.43
-0.11,-0.41,-0.81,9.28,105.04,341.92
-4,4,-4,542.97,53.65,-1937.07
-4,2.37,-1.58,25.45,-76.48,-1965.45
-4,-1.33,-3.73,324.95,-14.77,-942.75
-4,-2.45,-1.05,-247.56,146.61,-254.27
-0.99,-0.67,2.08,-119.32,-127.32,75.44
0.03,-0.68,0.63,81.54,118.71,-67.57
0.01,-1,-0.97,115.97,40.59,-13.37
0.29,-0.68,-0.81,46.2,11.96,33.75
0.22,-1,-0.81,49.07,10.38,42.3
-0.17,-0.81,-0.56,47.3,-20.2,96.19
-4,1.06,-2.57,21.42,101.32,-210.27
-4,3.3,-2.31,12.33,1.04,-851.2
-4,4,-3.32,280.15,-121.28,-1998.05
-4,4,0.4,173.83,10.8,-1999.76
-4,-2.68,-3.07,400.51,73.85,-1054.93
-4,-2.72,-1.76,-246.28,207.52,-93.02
-1.61,-0.8,0.42,27.4,-272.83,204.16
0.49,-0.3,0.28,-73.85,68.12,102.05
0.49,-0.68,-0.78,57.92,90.64,10.68
0.24,-0.65,-0.93,91.67,15.5,56.09
-3.87,2.1,-2.05,-50.66,68.6,-267.64
-4,4,-2.09,85.88,-34.06,-1018.37
-4,4,-4,357.24,1.28,-2000
-4,1.69,0.14,-151.37,-197.81,-1982.36
-4,-2.42,-3.07,400.27,-85.45,-766.91
-4,-2.77,-0.64,-256.1,99.37,-41.14
-0.76,-0.74,1.44,-23.56,-272.52,267.52
0.73,0.17,0.63,82.34,73.67,131.1
0.88,-0.4,-0.77,138.43,110.17,73.97
0.62,-0.22,-0.56,102.29,-6.9,88.81
-3.7,0.79,-2.82,61.46,195.43,-42.6
-4,4,-2.21,0.61,15.14,-675.48
-4,4,-4,559.81,55.05,-1999.57
-4,3.82,-0.22,-146.3,-137.7,-1999.02
-4,-3.04,-1.87,665.47,-102.36,-954.53
-4,-2.46,-2.24,127.14,155.94,-134.09
-0.66,-0.95,-0.56,-0.12,-300.54,125.79
0.82,0.12,0.26,-146.85,-55.36,198.43
0.92,-0.02,-0.27,-15.87,51.76,57.19
0.47,-0.41,-0.65,6.65,19.59,53.77
-4,1.43,-2.93,76.66,150.76,-183.47
-4,4,-3.75,150.82,12.15,-874.69
-4,4,-4,584.66,62.93,-2000
-4,3.27,-1.19,97.78,56.15,-1961.73
-4,-3.13,-3.11,455.81,46.69,-707.34
-3.63,-2.73,-2.49,23.32,-38.39,-19.65
-0.76,-1.07,0.81,-107.67,-264.4,144.1
0.75,-0.72,-0.37,-54.2,254.03,180.3
0.4,-0.56,-1.11,17.64,46.88,55.6
0.06,-0.49,-0.87,-14.28,-21.67,113.22
-3.75,1.35,-3.14,105.35,175.9,-143.13
-4,4,-2.49,151.31,21.48,-813.35
-4,4,-4,608.76,263.98,-1908.26
-4,2.33,-3.18,248.05,242.68,-1999.02
-4,-3.75,-4,613.04,-4.39,-844.67
-4,-2.69,-2.46,-225.77,224.24,-82.82
