aX,aY,aZ,gX,gY,gZ
-2.71,4,0.59,36.32,31.01,-233.28
-4,4,-0.29,177.19,52.67,-485.96
-4,4,-1.84,98.45,29.17,-906.31
-4,4,-2.08,200.99,-95.64,-1225.77
-4,4,-2.35,153.63,-20.87,-1234.5
-4,1.13,-0.9,-147.64,-50.29,-909.36
-4,-0.61,0.82,-64.51,-154.6,-488.34
-3.63,-1.11,0.68,27.04,-10.13,-260.19
-2.97,-1.27,0.85,-45.47,46.51,-124.15
-2.35,-1.25,1.11,-53.28,12.27,19.96
-3.38,4,-0.26,158.14,72.69,-217.9
-4,4,-2.42,268.43,122.56,-530.4
-4,4,-3.36,216.55,61.89,-1224.43
-4,4,-4,229.25,-58.29,-1322.94
-4,3.13,-3.53,-7.87,-150.45,-1223.33
-4,-0.43,-0.56,-207.82,-303.65,-739.44
-4,-1.31,0.54,161.8,-198.73,-303.1
-3.19,-0.97,0.94,67.2,8.24,-110.72
-2.59,-0.85,0.84,10.93,139.53,17.03
-1.98,-0.83,0.45,12.88,93.38,105.9
-3.32,4,-2.78,498.84,137.82,-225.16
-4,4,-4,482.48,164.79,-949.22
-4,4,-4,580.32,-116.09,-1206.18
-4,4,-4,462.71,79.1,-1392.7
-4,-0.26,-3.38,-221.44,23.68,-933.47
-4,-1.23,0.44,203.74,-378.6,-478.52
-3.45,-0.6,0.38,60.73,87.71,-181.4
-2.2,0.02,0.2,18.37,140.69,-45.1
-1.71,-0.3,0.78,43.27,45.29,42.85
-1.39,-0.68,1,50.48,58.96,150.21
-2.7,4,0.8,181.88,143.01,-129.39
-3.99,4,-1.53,134.4,175.29,-506.65
-4,4,0,-328.98,-52.61,-794.92
-4,4,0.47,128.11,-207.21,-1464.48
-4,4,-0.09,-91.19,-24.96,-1426.21
-4,1.61,1.32,-651.49,-197.94,-1117.31
-4,-0.42,3.06,-65.19,-331.67,-527.22
-4,-1.9,1.79,-91.98,-54.69,-321.11
-2.37,-1.43,1.8,24.11,84.78,25.7
-1.44,-0.47,1.34,123.9,104.74,137.39
-3.01,3.99,0.92,-38.45,117.25,-156.8
-4,4,0.4,-154.54,-16.11,-454.59
-4,4,1.53,-134.03,-185.49,-1066.35
-4,4,-0.8,217.16,-124.15,-1353.15
-4,4,-1.16,260.07,-16.91,-1401.98
-4,-1.14,-1.59,-233.76,53.04,-1063.72
-4,-2.92,1.22,134.46,-200.26,-424.68
-3.29,-1.62,0.61,141.85,17.15,-188.96
-2.35,-1.75,0.57,3.72,108.34,-25.39
-1.78,-1.24,0.73,8.67,100.1,148.8
-3.33,4,-0.07,141.72,167.85,-203.25
-4,4,-2.6,311.52,161.8,-546.94
-4,4,-2.35,32.65,-107.3,-1130.07
-4,4,-2.8,326.6,-156.98,-1376.65
-4,3.48,-2.25,39.31,17.27,-1285.95
-4,-1.69,0.77,-294.74,-226.75,-844.85
-4,-1.79,0.62,109.99,-22.95,-370.18
-3.49,-1.84,0.73,-7.81,51.76,-149.35
-2.28,-1.09,0.81,52.67,73.91,84.17
-1.79,-0.61,0.62,9.7,120.67,219.42
-4,4,-1.09,71.11,173.16,-827.09
-4,4,-0.83,250.31,79.47,-1431.88
-4,4,-2.87,19.35,152.34,-1394.96
-4,-1.17,-1.02,47.06,-232.54,-947.63
-4,-2.22,0.11,88.07,-77.64,-696.17
-3.78,-2.07,-0.39,43.27,5.98,-237
-2.49,-1.37,0.18,-0.85,18.43,-23.62
-1.94,-1.32,0.47,2.26,-59.81,74.89
-1.66,-0.82,0.62,-2.81,-86.91,216.8
-1.78,-0.18,0.75,-71.53,-56.09,305.11
