aX,aY,aZ,gX,gY,gZ
-0.18,0.33,0.89,0.12,0.31,-0.61
-0.18,0.33,0.89,-0.12,0.37,-0.67
-0.18,0.33,0.89,-0.12,0.31,-0.73
-0.18,0.33,0.89,-0.24,0.24,-0.67
-0.18,0.33,0.89,-0.31,0.24,-0.67
-0.18,0.33,0.89,-0.31,0.31,-0.73
-0.18,0.33,0.89,-0.43,0.24,-0.73
-0.18,0.33,0.89,-0.37,0.18,-0.67
-0.18,0.33,0.89,-0.31,0.31,-0.73
-0.18,0.33,0.89,-0.24,0.06,-0.67
-0.18,0.33,0.89,-0.31,0.18,-0.73
-0.18,0.33,0.89,-0.06,0.12,-0.67
-0.18,0.33,0.89,-0.06,0.06,-0.61
-0.18,0.33,0.89,0.06,-0.12,-0.61
-0.18,0.33,0.89,0.37,0.12,-0.67
-0.18,0.33,0.89,0.73,0.24,-0.55
-0.18,0.33,0.89,0.92,0.18,-0.55
-0.18,0.33,0.89,1.04,0.12,-0.55
-0.18,0.33,0.89,0.98,0.18,-0.43
-0.18,0.33,0.89,0.98,0,-0.55
-0.18,0.33,0.89,0.92,0,-0.73
-0.18,0.33,0.89,0.61,-0.06,-0.73
-0.18,0.33,0.89,0.49,-0.06,-0.73
-0.18,0.33,0.89,0.37,0,-0.73
-0.18,0.33,0.89,0.24,0.12,-0.61
-0.18,0.33,0.89,0.24,0.18,-0.61
-0.18,0.33,0.89,0.12,0.12,-0.67
-0.18,0.33,0.89,0.12,0.12,-0.67
-0.18,0.33,0.89,-0.12,0.18,-0.55
-0.18,0.33,0.89,-0.31,0.24,-0.61
-0.18,0.33,0.89,-0.43,0.18,-0.73
-0.18,0.33,0.89,-0.24,0.24,-0.67
-0.18,0.33,0.89,-0.31,0.31,-0.85
-0.18,0.33,0.89,-0.18,0.31,-0.67
-0.18,0.33,0.89,-0.06,0.31,-0.61
-0.18,0.33,0.89,0.18,0.18,-0.49
-0.18,0.33,0.89,0,0.12,-0.61
-0.18,0.33,0.89,0.06,0.18,-0.73
-0.18,0.33,0.89,0.37,0.18,-0.85
-0.18,0.33,0.89,0.55,0.12,-0.61
-0.18,0.33,0.89,0.55,0.18,-0.61
-0.18,0.33,0.89,0.61,0.06,-0.49
-0.18,0.33,0.89,0.67,0.12,-0.55
-0.18,0.33,0.9,0.49,0.12,-0.61
-0.18,0.33,0.89,0.31,0.18,-0.79
-0.18,0.33,0.89,0.18,0.06,-0.61
-0.18,0.33,0.89,0.31,0.06,-0.73
-0.18,0.33,0.89,0.06,0.06,-0.73
-0.18,0.33,0.89,-0.12,0.12,-0.61
-0.18,0.33,0.89,-0.06,0.12,-0.61
-0.18,0.33,0.89,0.12,0.12,-0.85
-0.18,0.33,0.89,0.37,0.24,-0.73
-0.18,0.33,0.89,0.67,0.18,-0.61
-0.18,0.33,0.89,0.49,0,-0.61
-0.18,0.33,0.89,0.37,-0.12,-0.55
-0.18,0.33,0.89,0.31,-0.18,-0.61
-0.18,0.33,0.89,0.37,-0.12,-0.85
-0.18,0.33,0.89,0.61,0.06,-0.73
-0.18,0.33,0.89,0.49,0.06,-0.73
-0.18,0.33,0.89,0.67,0.12,-0.55
-0.18,0.33,0.89,0.55,0.06,-0.61
-0.18,0.33,0.89,0.55,0.24,-0.67
-0.18,0.33,0.89,0.24,0.31,-0.67
-0.18,0.33,0.89,0.12,0.18,-0.61
-0.18,0.33,0.89,0.12,0.24,-0.61
-0.18,0.33,0.89,-0.06,0.06,-0.67
-0.18,0.33,0.89,0,0.12,-0.67
-0.18,0.33,0.89,-0.12,0.24,-0.79
-0.18,0.33,0.89,-0.12,0.24,-0.98
-0.18,0.33,0.89,-0.18,0.12,-0.73
-0.18,0.33,0.89,-0.18,0,-0.67
-0.18,0.33,0.89,0.06,0.12,-0.61
-0.18,0.33,0.89,0.06,0.24,-0.61
-0.18,0.33,0.89,0,0.18,-0.55
-0.18,0.33,0.89,0.06,0.12,-0.73
-0.18,0.33,0.89,0.24,0.12,-0.61
-0.18,0.33,0.89,0.43,0.12,-0.55
-0.18,0.33,0.89,0.55,0.06,-0.49
-0.18,0.33,0.89,0.61,0,-0.55
-0.18,0.33,0.89,0.55,0,-0.73
-0.18,0.33,0.89,0.61,0.06,-0.79
-0.18,0.33,0.89,0.61,0,-0.61
-0.18,0.33,0.89,0.67,0.06,-0.49
-0.18,0.33,0.89,0.37,0,-0.61
-0.18,0.33,0.89,0.18,0.18,-0.61
-0.18,0.33,0.89,0,0.12,-0.67
-0.18,0.33,0.89,-0.06,0.18,-0.79
-0.18,0.33,0.89,-0.18,0.18,-0.67
-0.18,0.33,0.89,0,0.18,-0.67
-0.18,0.33,0.89,-0.12,0.12,-0.67
-0.18,0.33,0.89,0,0.12,-0.73
-0.18,0.33,0.89,-0.12,0.18,-0.55
-0.18,0.33,0.89,-0.12,0.31,-0.73
-0.18,0.33,0.89,0.12,0.12,-0.61
-0.18,0.33,0.89,0.24,-0.06,-0.61
-0.18,0.33,0.89,0.43,0,-0.55
-0.18,0.33,0.89,0.61,0.06,-0.61
-0.18,0.33,0.89,0.43,0,-0.61
-0.18,0.33,0.89,0.55,0.12,-0.73
-0.18,0.33,0.89,0.55,0.12,-0.61
-0.18,0.33,0.89,0.49,0.06,-0.55
-0.18,0.33,0.89,0.55,0,-0.55
-0.18,0.33,0.89,0.31,0.18,-0.61
-0.18,0.33,0.89,0.24,0.06,-0.61
-0.18,0.33,0.89,0.31,0.18,-0.79
-0.18,0.33,0.89,0.12,0.18,-0.73
-0.18,0.33,0.89,0.24,0.24,-0.67
-0.18,0.33,0.89,0.31,0,-0.61
-0.18,0.33,0.89,0.24,0.06,-0.73
-0.18,0.33,0.89,0.31,0.12,-0.67
-0.18,0.33,0.89,0.43,0.18,-0.73
-0.18,0.33,0.89,0.24,0.06,-0.61
-0.18,0.33,0.89,0.18,0.12,-0.55
-0.18,0.33,0.89,0.06,0.12,-0.55
-0.18,0.33,0.89,-0.06,0.24,-0.61
-0.18,0.33,0.89,-0.12,0.31,-0.55
-0.18,0.33,0.89,-0.12,0.24,-0.73
-0.18,0.33,0.89,0,0.24,-0.79
-0.18,0.33,0.89,0.24,0.31,-0.61
-0.18,0.33,0.89,-0.06,0.18,-0.67
-0.18,0.33,0.89,0.12,0.06,-0.55
-0.18,0.33,0.89,0.06,0.24,-0.55
-0.18,0.33,0.89,0,0.18,-0.79
-0.18,0.33,0.89,0.24,0.06,-0.73
-0.18,0.33,0.89,0.49,0.06,-0.67
-0.18,0.33,0.89,0.55,0,-0.67
-0.22,0.31,0.89,0.73,0.37,-0.98
-0.22,0.37,0.9,0.12,4.21,-4.58
-0.21,0.34,0.92,-4.94,0.37,-9.77
-0.2,0.34,0.98,-13.85,-3.48,-16.05
-0.21,0.33,0.98,-16.17,5.43,-17.09
-0.2,0.34,0.96,-15.87,20.75,-15.69
-0.16,0.33,0.91,-15.93,31.98,-15.44
-0.15,0.33,0.9,-21.18,32.59,-15.56
-0.08,0.29,0.92,-27.77,29.11,-15.63
-0.07,0.27,0.92,-23.01,38.94,-6.23
-0.14,0.31,0.82,0.06,65.86,17.58
-0.24,0.54,0.86,-1.71,60.97,18.19
-0.19,0.51,0.86,-10.44,40.65,-5.98
-0.26,0.44,0.86,-8.61,34.18,-32.96
-0.23,0.5,0.89,-5.43,34.24,-45.84
-0.14,0.38,0.9,-4.94,33.87,-57.43
-0.06,0.32,0.91,-5.74,34.79,-65.06
-0.01,0.28,0.88,-6.23,36.19,-60
0.02,0.24,0.88,-12.7,29.36,-49.32
0.01,0.29,0.9,-20.26,21.55,-35.77
0.01,0.28,0.91,-24.48,18.62,-22.95
0,0.31,0.93,-26.43,19.84,-10.38
-0.02,0.35,0.87,-21.61,28.02,3.05
-0.04,0.39,0.86,-18.8,31.49,10.19
-0.03,0.41,0.87,-15.81,30.03,12.39
0.03,0.37,0.82,-10.44,28.38,13.98
-0.04,0.45,0.78,-7.63,20.08,17.33
-0.1,0.49,0.78,-9.7,5,13.18
-0.07,0.39,0.78,-5.55,-6.35,3.78
-0.03,0.41,0.82,1.16,-12.39,1.16
-0.03,0.37,0.83,7.69,-17.4,2.87
-0.05,0.39,0.83,15.14,-17.46,5.43
-0.03,0.42,0.86,21.3,-19.1,7.75
-0.05,0.38,0.86,25.21,-21.67,8.18
-0.06,0.36,0.85,26.86,-25.57,9.09
-0.04,0.33,0.87,24.66,-31.86,10.31
-0.07,0.29,0.88,20.2,-39.18,14.65
-0.08,0.28,0.88,13.43,-46.88,24.84
-0.04,0.45,0.97,4.46,-53.77,34.48
-0.09,0.33,0.94,3.42,-48.65,30.09
-0.05,0.26,0.91,0.43,-43.88,30.88
-0.15,0.36,0.95,-12.21,-48.46,39.12
-0.2,0.44,0.99,-20.08,-44.01,38.76
-0.14,0.32,0.9,-14.47,-28.08,35.34
-0.15,0.37,0.91,-18.49,-22.64,36.32
-0.17,0.38,0.88,-23.01,-22.83,36.44
-0.2,0.41,0.86,-24.35,-22.4,35.4
-0.29,0.51,0.89,-24.48,-22.4,29.91
-0.29,0.5,0.9,-19.9,-15.81,15.99
-0.19,0.41,0.84,-5.74,-0.73,2.75
-0.17,0.4,0.83,-0.18,2.87,-2.08
-0.17,0.4,0.86,-0.61,-1.65,-3.97
-0.16,0.39,0.86,2.99,-2.5,-4.03
-0.16,0.38,0.86,4.52,-2.62,-2.99
-0.17,0.38,0.88,5.19,-2.87,-1.77
-0.17,0.39,0.87,7.57,0.12,-0.43
-0.18,0.39,0.86,8.36,1.1,-0.24
-0.18,0.39,0.88,4.7,-2.26,-1.65
-0.18,0.38,0.9,2.26,-3.42,-3.05
-0.17,0.37,0.9,0.37,-2.08,-3.36
-0.17,0.37,0.9,-2.81,-1.4,-2.75
-0.17,0.37,0.9,-6.23,-0.67,-1.65
-0.17,0.37,0.9,-9.28,1.1,-0.43
-0.17,0.38,0.89,-11.84,2.93,0.67
-0.18,0.39,0.88,-13.61,4.46,1.59
-0.18,0.41,0.86,-14.59,4.88,0.79
-0.18,0.41,0.86,-15.56,3.17,-0.79
-0.18,0.41,0.85,-15.69,1.53,-2.87
-0.17,0.41,0.85,-14.1,0.31,-4.7
-0.17,0.41,0.84,-12.51,-0.73,-5.74
-0.16,0.4,0.85,-10.13,-1.53,-5.68
-0.16,0.4,0.85,-7.2,-1.34,-4.46
-0.16,0.4,0.85,-4.03,-0.31,-2.5
-0.16,0.41,0.84,-0.37,0.73,-1.04
-0.17,0.41,0.84,3.11,1.16,-0.12
-0.17,0.41,0.84,6.04,0.85,0.12
-0.17,0.41,0.84,9.16,0.18,0.31
-0.17,0.41,0.85,11.96,-0.49,0.24
-0.17,0.4,0.85,14.28,-1.04,0.06
-0.17,0.39,0.86,15.81,-1.34,0.18
-0.17,0.39,0.87,16.78,-1.4,0.49
-0.17,0.39,0.88,16.97,-0.79,0.98
-0.17,0.38,0.88,16.42,-0.12,1.71
-0.18,0.38,0.89,14.89,-0.06,1.71
-0.18,0.38,0.89,12.21,-0.12,1.16
-0.18,0.38,0.9,8.79,-0.31,0.24
-0.18,0.38,0.9,4.82,-0.55,-0.55
-0.18,0.38,0.9,0.55,-0.73,-1.46
-0.18,0.38,0.9,-3.97,-0.61,-2.2
-0.17,0.37,0.9,-8.3,-0.18,-2.75
-0.14,0.34,0.9,-11.54,0.92,-1.28
-0.14,0.36,0.88,-10.56,6.1,4.52
-0.15,0.37,0.86,-7.63,10.99,11.05
-0.16,0.39,0.84,-3.05,14.83,15.81
-0.18,0.41,0.83,2.32,16.24,18.31
-0.18,0.42,0.82,7.57,14.22,17.03
-0.18,0.42,0.82,11.6,9.89,13.31
-0.19,0.42,0.83,16.42,5.62,9.58
-0.19,0.41,0.84,20.32,1.59,5.31
-0.19,0.4,0.85,22.46,-2.75,0.31
-0.19,0.4,0.87,22.4,-6.59,-4.03
-0.19,0.38,0.9,19.65,-10.13,-9.03
-0.18,0.36,0.92,14.83,-12.57,-13.67
-0.18,0.35,0.93,8.54,-12.33,-15.38
-0.17,0.34,0.95,0.67,-11.78,-16.05
-0.15,0.31,0.96,-8.06,-9.95,-15.08
-0.15,0.32,0.96,-14.1,-3.72,-8.73
-0.16,0.34,0.92,-18.37,4.21,-1.95
-0.17,0.38,0.85,-18.49,11.17,2.2
-0.18,0.4,0.84,-19.65,8.73,2.5
-0.18,0.41,0.84,-20.02,2.93,0
-0.17,0.4,0.82,-14.1,2.2,-1.65
-0.15,0.39,0.81,-7.63,0.85,-1.89
-0.15,0.39,0.8,3.42,1.65,0.73
-0.15,0.39,0.8,15.99,2.38,4.82
-0.16,0.39,0.82,26.37,1.28,7.39
-0.19,0.4,0.85,33.69,0,8
-0.21,0.39,0.89,34.42,-2.69,4.39
-0.21,0.39,0.94,28.08,-6.84,-1.83
-0.19,0.35,0.96,16.97,-10.44,-8.85
-0.18,0.33,0.98,3.85,-11.17,-13.06
-0.17,0.31,0.99,-9.09,-8.61,-13.18
-0.17,0.32,0.98,-21.24,-3.36,-10.38
-0.17,0.33,0.95,-31.8,2.08,-6.65
-0.18,0.36,0.92,-40.83,5.86,-3.85
-0.18,0.39,0.88,-47.61,7.32,-3.23
-0.16,0.39,0.83,-50.48,7.32,-4.09
-0.12,0.4,0.73,-37.78,13.92,-0.49
-0.14,0.43,0.7,-17.82,15.2,6.47
-0.17,0.46,0.74,-2.81,6.23,8.61
-0.17,0.44,0.74,18.62,3.97,9.7
-0.17,0.44,0.76,35.1,0.67,7.87
-0.18,0.42,0.8,47.73,-3.85,4.88
-0.19,0.4,0.86,55.79,-7.32,1.71
-0.19,0.37,0.93,53.28,-13.37,-3.05
-0.19,0.34,0.99,43.46,-17.15,-7.75
-0.18,0.31,1,33.39,-12.63,-8.54
-0.17,0.3,1,20.26,-6.41,-6.71
-0.17,0.3,1,4.03,-2.62,-4.52
-0.18,0.32,1,-11.6,1.04,-1.95
-0.19,0.33,0.97,-25.88,4.88,-0.67
-0.19,0.36,0.94,-39.06,7.08,-1.04
-0.19,0.38,0.9,-49.32,7.45,-3.23
-0.18,0.39,0.87,-56.34,5.37,-6.65
-0.17,0.4,0.85,-60.3,2.69,-9.34
-0.16,0.41,0.83,-59.14,2.01,-10.19
-0.15,0.41,0.8,-53.22,2.62,-9.09
-0.15,0.42,0.79,-44.56,2.99,-6.77
-0.14,0.43,0.76,-32.71,3.78,-3.36
-0.12,0.42,0.69,-12.51,8.67,2.38
-0.15,0.46,0.7,13.67,12.08,10.56
-0.19,0.49,0.78,26.06,1.46,10.5
-0.17,0.44,0.77,39.86,-2.44,6.53
-0.16,0.43,0.76,54.38,-1.59,4.64
-0.15,0.4,0.78,66.59,-5.25,3.91
-0.14,0.39,0.77,82.95,-4.15,7.14
-0.13,0.35,0.74,106.51,-0.06,13.85
-0.15,0.33,0.78,127.5,-1.71,21.55
-0.19,0.35,0.87,142.4,-6.29,26.18
-0.16,0.34,0.93,146.91,-7.08,27.34
-0.16,0.32,0.93,131.59,-14.71,24.17
-0.16,0.3,1,99.98,-33.57,17.27
-0.43,0.06,1.13,66.53,-48.77,7.2
-0.14,-0.08,1.24,22.34,-64.76,-19.04
-0.15,0.04,1.33,-18.8,-56.4,-13.61
-0.24,0.14,1.27,-52.55,-33.08,2.69
-0.21,0.15,1.17,-88.75,-11.78,21.18
-0.35,0.19,1.03,-114.44,0.55,36.56
-0.41,0.46,0.98,-138.49,2.56,43.88
-0.45,0.58,0.92,-156.19,-0.24,24.9
-0.43,0.37,0.87,-182.31,-18.31,13.98
-0.38,0.38,0.93,-222.23,-38.7,39.25
-0.42,0.61,1.08,-238.59,-44.98,53.53
-0.41,0.79,1.21,-185.06,-35.83,62.62
-0.5,0.91,1.26,-103.21,-14.47,57.98
-0.53,0.89,1.22,-32.41,8,33.69
-0.55,0.91,1.16,-26,26.86,14.04
-0.55,0.96,1.15,-44.07,39.12,-4.39
-0.53,1.05,1.2,-53.96,47.24,-10.62
-0.52,1.19,1.22,-42.91,55.91,-11.96
-0.55,1.36,1.24,-21.12,63.54,-10.99
-0.64,1.49,1.25,1.1,68.12,-18.37
-0.74,1.46,1.3,16.3,68.48,-43.15
-0.85,1.29,1.34,3.23,68.3,-77.88
-0.86,1.04,1.46,-28.75,70.37,-106.08
-0.89,0.88,1.53,-69.82,83.44,-119.57
-0.86,0.86,1.58,-108.64,103.03,-116.33
-0.83,0.99,1.61,-112.67,123.11,-104.31
-0.78,1.2,1.63,-68.79,142.46,-91.86
-0.79,1.41,1.62,-13.85,162.9,-87.04
-0.82,1.58,1.61,33.75,179.5,-90.39
-0.78,1.66,1.56,50.6,195.25,-106.38
-0.78,1.71,1.38,46.2,216.19,-128.97
-0.71,1.81,1.07,19.47,238.16,-149.9
-0.65,1.87,0.85,-31.31,241.46,-171.26
-0.64,1.78,0.7,-52.19,218.2,-205.69
-0.6,1.67,0.66,-67.32,191.65,-237.55
-0.49,1.57,0.6,-75.13,177.25,-265.99
-0.32,1.57,0.44,-35.1,174.99,-286.19
-0.22,1.66,0.31,33.51,171.33,-291.87
-0.23,1.65,0.15,87.4,166.56,-297.49
-0.32,1.59,-0.01,66.28,161.32,-314.15
-0.45,1.46,-0.04,-21.73,144.29,-348.94
-0.56,1.07,-0.09,-90.94,113.89,-401.73
-0.64,0.63,-0.17,-175.17,91.25,-448.61
-0.73,0.25,-0.14,-295.96,55.6,-478.94
-0.8,-0.34,-0.08,-361.08,3.3,-496.09
-0.71,-0.88,0.08,-401.43,-49.5,-491.52
-0.73,-1.19,0.34,-462.28,-98.39,-476.5
-0.75,-1.34,0.69,-483.95,-127.93,-451.54
-0.61,-1.52,1.01,-467.41,-135.25,-307.5
-0.58,-1.46,1.25,-429.69,-128.23,-212.71
-0.63,-1.31,1.38,-335.63,-102.05,-139.4
-0.76,-1.16,1.41,-213.62,-69.52,-81.54
-0.85,-1.04,1.37,-120.97,-39.37,-43.76
-0.9,-1.03,1.3,-90.58,-11.41,-29.6
-0.91,-1.15,1.21,-109.74,16.05,-29.36
-0.91,-1.19,1.13,-150.02,44.98,-27.53
-0.82,-1.2,1.08,-171.51,73.79,-15.75
-0.63,-1.2,0.99,-138.06,102.36,8.91
-0.56,-1.03,0.85,-63.96,132.2,51.15
-0.62,-0.76,0.66,22.34,160.28,100.16
-0.52,-0.48,0.48,103.88,176.03,144.59
-0.33,-0.19,0.34,177.12,177.98,181.52
-0.11,0.05,0.21,256.47,168.33,208.98
0.09,0.31,0.2,326.23,150.39,226.99
0.05,0.51,0.28,406.56,131.35,229.86
0.21,0.59,0.3,478.39,122.62,223.45
0.31,0.64,0.33,445.19,119.69,209.53
0.52,0.67,0.34,340.64,122.13,190.55
0.67,0.67,0.32,254.64,128.3,162.66
0.71,0.63,0.27,220.28,135.8,138.06
0.72,0.58,0.24,204.59,135.93,126.04
0.66,0.55,0.29,143.86,129.76,120.79
0.69,0.64,0.38,49.19,128.54,119.69
0.7,0.79,0.44,-19.35,136.05,121.64
0.75,0.86,0.43,-32.71,144.17,114.93
0.93,0.82,0.42,-41.2,147.09,96.74
0.91,0.71,0.42,-48.89,147.34,60.67
1.03,0.59,0.4,-40.1,155.33,25.94
1.18,0.44,0.33,15.44,175.17,8.73
1.17,0.27,0.25,132.51,197.39,2.38
1,0.09,0.16,277.59,215.52,9.09
0.32,-0.11,0.03,411.87,229.92,36.74
-0.04,-0.24,-0.14,461.91,244.2,87.04
-0.27,-0.06,-0.26,380.19,258.61,149.23
-0.14,0.07,-0.28,212.71,256.84,207.7
0.02,0.35,-0.12,-43.4,166.44,248.78
2.56,2.38,-0.21,-281.74,99.49,281.07
2.93,2.15,-0.01,-230.77,198.3,396.85
2.36,2.17,-0.26,36.32,232.6,231.08
1.47,1.42,-0.21,133.73,221.07,162.84
0.83,0.91,-0.09,-27.65,183.78,122.01
0.32,0.62,0,-233.46,146.97,60.73
-0.1,0.56,0.29,-279.54,131.96,-0.06
0.08,0.45,0.41,-36.5,117.31,25.21
0.01,0.11,0.3,210.69,96.62,-4.58
-0.14,-0.14,0.29,184.81,129.76,29.17
2.32,0.25,-1.57,58.84,178.65,90.64
1.07,0.25,-1.55,-537.78,325.13,47.3
1.09,0.1,-1.43,-966.13,122.99,75.07
1.12,0.41,-1.23,-954.53,15.81,96.19
1.32,0.56,-1.47,-542.79,67.81,148.32
1.41,0.8,-1.41,-100.22,77.27,208.5
1.37,1.35,-0.83,115.72,26.61,230.65
1.2,1.61,-0.5,259.64,-1.22,224.91
1.12,1.4,-0.31,335.45,-19.9,188.11
0.82,1.05,0.26,185,-78.74,144.35
0.41,1.3,0.11,-20.69,-95.34,129.64
0.1,1.18,-0.54,-75.56,-37.05,96.5
-0.09,2.62,-1,-254.46,-25.02,58.35
0.41,1.66,-1.16,-465.21,-98.51,-24.41
0.85,1.45,-1.46,-377.08,-54.38,-90.45
1.25,1.62,-1.62,-235.17,20.63,-55.24
1.22,1.65,-1.59,-128.42,-7.39,-15.38
1.23,1.01,1.28,-140.69,-88.56,-7.14
0.72,1.69,-0.07,-385.13,-72.69,-10.01
0.94,1.02,-0.89,-389.47,78.67,-23.13
1.02,0.63,-0.68,-275.45,53.53,-70.68
0.82,0.88,-0.9,-170.29,61.83,-76.17
0.64,0.98,-0.95,-100.34,73.97,-69.46
0.61,0.94,-0.89,-75.81,62.81,-64.33
0.6,0.79,-0.78,-94.36,52.06,-59.14
0.58,0.71,-0.69,-133.3,48.16,-48.1
0.62,0.79,-0.74,-172.61,56.95,-29.54
0.77,0.94,-0.77,-198.36,56.34,-30.58
0.87,1,-0.81,-177.8,44.43,-55.54
0.91,0.89,-0.7,-103.09,26.92,-72.94
0.85,0.88,-0.48,-23.25,8,-85.14
0.71,0.75,-0.34,17.03,1.77,-100.77
0.55,0.71,-0.42,43.15,4.76,-110.72
0.51,0.55,-0.54,74.71,6.16,-115.91
0.53,0.39,-0.49,98.88,-5.86,-111.82
0.52,0.34,-0.35,96.86,-1.77,-91.55
0.53,0.46,-0.42,62.01,27.83,-67.63
0.56,0.59,-0.29,28.38,32.35,-50.66
0.6,0.59,-0.1,-0.92,37.35,-50.48
0.29,0.5,0.01,-17.7,45.47,-56.52
0.66,0.19,-0.16,-16.91,58.72,-88.68
0.56,0.42,0.3,27.59,12.88,-72.45
0.32,0.54,0.74,72.69,7.81,-30.88
0.32,0.32,0.52,114.2,49.26,-43.88
0.18,0.25,0.62,180.3,61.89,-36.99
0.16,-0.03,0.38,265.93,63.17,1.95
0.16,0.02,0.53,332.09,51.39,54.38
0.15,-0.18,0.54,391.48,42.6,72.27
0.58,0.1,-0.52,378.91,61.22,87.34
0.41,0.6,-0.32,223.39,61.22,90.76
0.22,0.06,0.32,212.1,22.77,61.52
0.06,-0.26,0.55,262.94,10.86,41.75
-0.23,-0.48,0.84,283.57,38.94,44.74
-0.33,-0.54,1.1,302.49,84.17,69.46
-0.27,-0.21,1.13,335.21,131.71,97.47
-0.35,0.06,0.91,363.83,171.87,111.33
-0.54,0.21,0.21,362.06,203.37,112.79
-0.54,0.1,0,345.64,188.48,103.39
-0.64,0,-0.18,307.31,174.74,111.69
-0.85,-0.13,-0.46,263.79,166.5,147.16
-1.15,-0.25,-0.43,231.69,138.92,181.7
-1.34,-0.13,-0.5,204.83,122.07,213.81
-1.33,0.06,-0.68,190.73,120.54,245.54
-1.3,0.41,-0.76,186.95,107.36,268.25
-0.87,0.67,-1.46,199.58,80.99,271.3
-1.02,0.58,-0.36,206.48,0.37,250.37
-1.17,0.56,-0.08,180.3,-35.77,245.36
-1.46,0.4,0.01,148.62,-5.8,263.12
-1.43,0.58,-0.1,88.44,45.96,295.84
-1.43,0.97,-0.32,32.04,84.29,324.28
-1.4,1.09,-0.53,9.77,101.44,330.99
-1.49,1.15,-0.7,6.29,94.18,330.14
-1.45,1.12,-0.82,10.62,69.34,329.71
-1.57,0.95,-0.97,-1.22,38.21,326.48
-1.5,1.09,-0.47,-44.74,6.04,336.36
-1.42,1.13,-0.27,-70.01,0.92,348.21
-1.31,1.02,-0.19,-100.04,22.77,348.27
-1.41,1.32,-0.14,-139.28,48.83,332.76
-1.5,1.3,-0.29,-162.48,50.96,312.74
-1.52,1.67,0.26,-174.44,55.36,300.11
-1.73,1.41,0.03,-92.29,40.1,279.17
-1.69,1.35,0.08,-69.09,70.86,268.86
-1.75,1.48,-0.03,-39.49,106.87,245.85
-1.86,1.67,-0.17,-3.6,126.59,226.14
-1.61,1.79,-0.36,22.09,137.33,218.14
-1.55,1.89,-0.54,29.24,131.9,211.36
-1.54,1.85,-0.55,20.51,120.54,205.69
-1.5,1.9,-0.63,3.42,106.99,195.25
-1.48,1.97,-0.61,-11.9,92.9,189.82
-1.58,2.08,-0.44,-21,79.77,180.79
-1.55,2.15,-0.31,-30.03,82.34,167.72
-1.39,2.35,-0.24,-41.87,98.75,146.55
-1.38,2.47,-0.24,-35.46,100.22,118.77
-1.34,2.47,-0.28,-14.77,93.26,86.61
-1.42,2.35,-0.14,5.31,91.49,56.7
-1.41,2.27,-0.23,32.17,98.82,31.62
-1.38,2.22,-0.42,62.68,92.77,11.05
-1.43,2.22,-0.33,91.74,65.37,-1.95
-1.27,2.32,-0.26,115.78,43.95,-10.25
-1.36,2.44,-0.14,137.27,27.77,-27.47
-1.44,2.59,-0.22,155.27,23.74,-51.33
-1.47,2.67,-0.26,163.64,23.32,-68.54
-1.56,2.89,-0.15,161.87,18.25,-77.58
-1.7,3.15,-0.19,161.13,16.85,-89.54
-1.75,3.59,-0.32,168.76,11.47,-100.59
-1.84,4,-0.46,173.16,-0.79,-117
-2.01,4,-0.58,176.15,-6.65,-151
-2.29,4,-0.81,175.6,-5.49,-197.02
-2.69,4,-1.17,166.44,0.73,-250.92
-3.3,4,-1.71,153.44,1.83,-315.92
-3.96,4,-2.29,153.02,-21.18,-387.15
-4,4,-2.87,160.16,-61.77,-464.84
-4,4,-3.32,169.8,-96.74,-545.53
-4,4,-3.61,175.42,-112.06,-628.48
-4,4,-3.89,172.12,-132.32,-710.88
-4,4,-3.85,182.37,-192.63,-803.96
-4,4,-3.73,203.31,-242.8,-896
-4,4,-3.82,221.8,-264.83,-984.44
-4,4,-3.94,252.32,-275.57,-1066.41
-4,4,-4,281.37,-282.29,-1142.88
-4,4,-3.98,302.55,-282.9,-1218.57
-4,4,-3.69,308.11,-267.4,-1296.08
-4,4,-3.51,291.08,-246.46,-1364.56
-4,4,-3.53,289.43,-230.22,-1409.42
-4,4,-3.52,275.45,-194.46,-1419.25
-4,3.96,-3.22,197.75,-139.47,-1393.68
-4,1.96,-2.81,59.88,-63.35,-1320.86
-4,-0.2,-2.1,-154.91,3.72,-1170.35
