aX,aY,aZ,gX,gY,gZ
0.56,3.18,-2.03,276.92,127.69,351.81
0.59,-0.67,-0.35,5.68,-120.3,-385.62
0.79,-1.55,1.16,-169.56,-78.43,59.08
0.38,2.25,-1.2,236.51,208.25,480.83
0.62,0.76,-0.77,31.43,-19.53,-308.04
0.52,-2.33,0.29,-166.56,-119.14,-293.21
0.78,0.73,-0.46,71.29,153.56,261.05
0.74,2.32,-1.34,48.95,52.8,123.47
0.77,-0.38,-0.39,-44.49,-55.54,-164.31
0.81,-0.31,0,-19.53,-9.34,25.39
0.34,1.22,-4,150.33,671.94,20.2
-0.72,1.21,-3.53,20.51,-457.34,-123.9
-1.04,-1.06,2.26,-203.8,-828.19,-262.02
-0.06,0.67,3.88,113.22,139.4,110.96
0.33,0.38,-1.73,117.92,810.18,3.42
0.45,1.63,-4,55.36,220.95,17.82
-0.17,-0.71,0.77,-98.33,-680.6,-175.6
0.64,0.17,3.32,-17.27,20.69,9.7
0.81,-0.33,-0.97,54.87,412.35,-0.98
0.97,0.58,-2.34,64.7,119.02,67.93
-0.63,3.56,0.96,121.89,-74.71,902.28
0.44,3.81,0.37,-99,96.13,-156.01
-0.68,0.67,0.1,-443.18,18.31,-786.07
0.43,-2.85,0.62,94.91,-44.92,-637.21
0.28,-2.55,-0.12,325.26,41.81,421.33
-0.25,1.63,0.19,232.3,-146,761.9
0.48,4,0.49,41.02,-70.19,143.25
0.03,1.11,0.25,-521.97,-142.15,-602.78
0.52,-1.66,1.19,-100.16,-110.05,-516.78
0.33,-2.28,0.16,254.76,114.5,366.52
-0.89,-1.6,-2.86,362.85,664.49,200.13
-1.62,2.57,-3.1,26.79,-157.04,743.29
-1.64,4,0.77,159.85,-868.29,93.32
-3.38,0.34,2.83,-452.33,-884.7,-817.57
0.06,-1.14,4,-279.24,-462.22,-671.69
0.41,-3.5,2.51,-134.95,493.16,-647.71
-1.53,-1.46,-2.79,872.56,957.21,245.42
-0.34,2.39,-1.68,352.42,-531.01,447.39
-0.39,1.17,2.55,-102.48,-670.96,-213.38
0.99,-0.94,2.96,-139.71,-23.99,-393.49
0.34,3.04,-1.86,695.13,608.15,-14.28
0.4,1.56,-3.88,251.95,271.73,-222.11
0.44,-1.22,-1.17,-286.25,-278.44,-390.08
0.28,-2.91,1.4,-261.41,-286.5,-48.4
0.09,1.04,1.52,81.12,86.3,335.21
0.77,2.62,-0.88,189.76,360.78,203.8
0.56,1.78,-2.52,157.29,54.44,-154.24
0.71,-2.14,1.46,-352.17,-193.6,-248.72
0.76,0.19,0.1,118.96,163.27,121.89
1.09,0.63,-1.35,134.95,93.63,57.25
0.92,-3.57,-1.76,299.99,170.65,-142.76
0.32,-1.13,-1.74,-133.24,53.28,300.66
1.47,3.99,-1.39,-401.67,11.72,187.56
-0.13,1.02,0.37,192.02,-32.96,-225.52
0.79,-3.27,-1.67,220.46,24.11,-159.24
0.52,-0.85,-1.05,-209.17,-9.4,197.2
1.12,3.27,0.78,-93.32,-25.02,62.07
0.61,1.05,-0.67,183.78,42.05,-129.58
0.74,-1.27,-0.34,-159.12,-73.91,-65.25
0.75,-0.86,-0.34,-112.61,28.93,52.55
4,2.09,-0.8,32.78,-99.85,108.64
0.67,1.54,0.32,-5.68,-87.71,-360.17
-3.54,-3.2,0.31,313.9,-82.03,-151.37
0.28,-0.11,-1.03,-267.7,186.22,240.6
4,3.97,0.51,-45.78,-175.78,106.63
-0.74,2.39,-1.34,195.86,-77.39,-480.47
-3.07,-3.9,-0.62,226.26,-75.99,-99
-0.32,-1.01,-0.03,-320.25,191.83,252.01
2.83,1.96,-0.39,-34.91,11.23,208.56
1.76,1.5,-0.51,24.05,-23.19,-63.48
3.98,1.24,-2.02,-132.75,432.68,35.95
4,1.75,-1.19,25.27,-70.19,31.98
1.38,1.01,-0.6,101.2,-33.2,-295.04
-0.1,-0.3,-0.32,72.75,-162.35,-83.01
0.41,-0.36,-0.09,42.42,-86.79,-0.49
0.7,-0.22,-0.06,1.65,-26.49,-2.5
0.8,-0.09,-0.1,-9.95,19.65,3.6
0.88,0,-0.11,-5.25,-14.59,15.99
0.81,0,-0.16,3.97,-21.79,6.29
0.88,0.01,-0.16,0.49,-11.9,10.13
4,0.54,-3.21,169.68,379.27,263.24
4,2.15,-1.81,-41.02,-116.33,-66.96
0.48,1.09,-0.42,62.07,-233.46,-345.03
-1.3,-0.8,0.28,15.75,-229.43,0.49
-0.37,-0.32,0.51,-69.76,42.24,40.16
1.23,0.12,0.22,15.99,136.35,79.83
1.21,-0.1,-0.16,8.91,59.69,11.41
0.82,0,-0.09,-4.88,-4.03,27.1
0.95,0.01,-0.07,-0.73,-16.6,32.78
1.01,0.1,-0.01,-9.83,9.28,24.66
-4,-2.47,-0.3,157.04,-324.22,11.41
-0.98,-0.58,-0.01,-81.3,68.36,253.36
1.55,1.11,0.17,-61.83,286.87,166.99
1.93,0.44,-0.91,-55.48,369.51,-3.3
1.32,0.18,-0.44,-32.96,17.7,25.15
