0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,forehand,topspin,bad form
-3.66,-4,-4,-4,-4,-4,-4,-2.48,-1.89,-1.36,4,4,4,2.63,0.63,-0.36,-2.29,-1.86,-1.72,-1.37,-0.38,-1.91,-1.78,0.05,-0.45,-0.18,0.8,1.1,0.99,1.01,107.91,-31.43,104.86,-23.86,119.26,-21.97,-56.21,198.55,36.56,-10.8,115.23,86.49,-84.17,-165.47,-166.87,-150.02,-172.42,-152.71,-42.66,-24.66,-283.02,-524.29,-963.99,-1202.21,-1053.65,-788.39,-445.98,-173.22,-2.14,133.91,1,1,0
-3.62,-4,-4,-4,-4,-4,-4,-3.45,-2.67,-1.95,3.84,4,4,4,2.86,0.4,-2.22,-2.42,-1.6,-1,-0.2,-1.25,-2.56,-3.33,-2.56,-1.3,0.01,0.62,0.67,0.71,271.3,292.48,333.92,295.65,77.39,28.87,80.99,79.28,29.97,-1.1,148.5,287.17,368.53,470.52,314.88,34.18,-0.18,76.05,67.87,14.1,-232.36,-467.77,-975.28,-1210.33,-1238.22,-852.78,-485.78,-91.43,107.24,215.39,1,1,0
-4,-3.17,-1.94,-1.11,-0.75,-1.17,-1.38,-1.32,-1.27,-1.74,-3.68,-1.6,-1.64,-0.95,-0.72,-0.12,0.17,0.76,1,1.36,0.41,1.24,0.74,0.99,1.14,0.32,0.04,-0.05,-0.37,-0.8,-49.32,274.54,-32.41,29.42,-8.24,-102.36,-66.47,-94.85,-244.2,-246.46,-206.12,-156.07,96.13,-36.32,-61.83,-64.88,-150.88,-194.58,-99.06,-47.91,-508.79,-155.21,64.64,188.42,209.35,333.19,361.45,366.94,368.96,408.02,1,1,0
-3.71,-4,-4,-4,-4,-4,-4,-2.69,-1.74,-0.85,3.13,4,4,4,1.71,-2.32,-2.06,-1.47,-1.43,-0.96,-0.44,-1.21,-2.34,-2.61,-1.95,-0.71,0.17,0.21,0.41,0.87,249.94,264.65,-83.13,452.15,-35.16,-285.83,275.76,100.16,22.16,11.84,230.65,248.78,225.95,192.57,232.6,-140.32,-123.96,10.86,7.2,-13.98,-217.41,-440.43,-1173.52,-1420.04,-1279.17,-895.2,-262.45,-106.45,31.01,132.51,1,1,0
-4,-4,-4,-4,-2.11,-0.91,-0.29,0.18,0.15,-0.11,4,0.5,-2.65,-2.65,-1.93,-1.22,-0.99,-0.54,-0.31,-0.67,-0.41,-1.26,0.16,0.29,0.39,1,0.93,0.89,1.08,0.88,160.03,-112.55,-196.96,189.7,23.74,-89.05,18.01,15.2,-10.68,-4.7,198.85,169.13,-145.02,-107.48,0.73,31.68,45.35,-11.47,-34.12,-45.84,-1428.96,-1319.03,-891.17,-416.5,-104.37,50.11,57.86,102.97,86.06,99.91,1,1,0
-4,-2.42,-1.12,-0.19,-0.08,-0.09,-0.07,-0.27,-0.57,-0.86,-3.02,-2.51,-1.55,-0.74,-0.56,0.02,-0.02,0.02,0.29,0.73,-0.32,0.16,0.67,0.86,0.73,0.81,1.06,0.89,0.46,-0.17,161.07,-21.24,-71.11,8.67,12.39,19.71,11.29,-29.54,-41.38,-16.48,13.61,14.1,14.47,-12.51,-13.12,-68.24,-103.27,-78.92,-46.14,-112,-392.7,-54.02,133.42,142.76,192.44,213.2,184.69,223.45,257.81,253.66,1,1,0
-3.68,-4,-4,-4,-4,-4,-3.11,-1.83,-0.92,-0.35,3.34,4,4,2.29,-1.08,-3.34,-1.81,-1.11,-0.99,-1.1,-0.33,-0.69,-0.55,-1.57,-1.7,0.48,-0.5,0.14,0.47,0.75,193.3,186.04,253.36,60.18,-320.31,211.91,188.6,0.61,-34.36,-8.73,212.77,199.34,317.81,528.08,-43.15,-169.19,-36.5,-23.93,15.93,-55.91,-161.99,-403.26,-1072.94,-1477.6,-1124.33,-654.91,-235.66,-73.67,-5.49,13.37,1,1,0
-3.82,-4,-4,-4,-4,-4,-3.3,-1.95,-1.15,-0.63,3.9,4,4,3.63,0.83,-2.11,-1.64,-1.26,-0.58,-0.72,-0.26,-0.32,-0.58,-0.98,-1.08,0.97,0.54,0.96,0.98,1.17,219.42,136.17,0.12,105.29,-163.45,-238.28,77.15,109.31,16.85,58.84,188.9,170.96,105.9,181.09,86,-233.22,-132.39,-67.38,16.78,10.8,-219.97,-491.82,-1106.93,-1403.26,-1273.38,-709.29,-241.76,-104.86,13.85,53.16,1,1,0
-3.91,-4,-4,-4,-4,-4,-4,-2.64,-1.48,-0.74,3.08,3.86,4,3.61,0.09,-1.28,-1.53,-2.25,-1.53,-1.53,-0.26,-1.05,-0.08,0.93,-0.41,1.57,0.39,0.24,0.87,1.04,214.23,133.79,21.67,-81.12,-162.29,-161.01,-45.17,80.87,21.85,-14.71,289.86,339.84,256.35,322.69,341.92,-30.7,8.36,-81.42,-63.54,-8.67,-207.89,-329.04,-779.6,-1314.03,-1282.1,-762.51,-522.46,-281.92,-57.19,5.13,1,1,0
-3.48,-4,-4,-4,-4,-4,-4,-2.31,-1.53,-0.88,3.24,4,4,4,2.66,-0.08,-2.55,-0.41,-0.79,-0.9,-0.64,-1.53,-2.15,-3.49,-4,-1.06,0.32,0.63,0.87,1.07,168.33,288.51,265.69,241.58,78,-353.94,6.71,195.68,-64.21,-9.7,213.93,332.82,417.05,518.07,353.27,-126.71,-246.77,-157.17,-6.77,-27.22,-94.12,-223.14,-794.07,-1290.59,-1310.97,-987.73,-496.46,-170.47,-108.22,-18.07,1,1,0
