0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-3.72,-4,-4,-4,-4,-2.08,-0.62,-0.4,-0.23,-0.39,-3.94,-3.96,0.87,4,4,4,3.52,1.95,1.55,0.92,1.9,2.26,1.23,4,2.64,-1.23,0.2,0.63,0.37,0.82,-119.2,349.18,246.15,87.59,-184.45,-195.68,31.43,-24.72,-0.55,-40.22,159.79,-14.95,-284.12,-459.23,77.03,291.93,-52.43,9.77,-0.31,-13.43,-0.37,630.19,1114.32,1020.32,634.52,280.58,34,11.41,-33.57,-73.06
-2.52,-4,-4,-4,-4,-3.25,-1.47,-0.75,-0.59,-0.2,-3.84,-4,-3.04,4,4,4,3.79,3.04,1.77,1.62,1.51,0.7,1.41,4,3.08,-0.66,1.33,0.75,-0.13,0.6,79.35,641.48,455.81,-298.89,135.68,-12.45,-321.47,140.81,-17.27,-112.61,110.6,-181.82,-714.48,-614.01,164.86,-12.82,-15.75,69.09,52.67,6.16,100.28,368.35,696.59,1102.72,611.02,308.72,247.68,79.83,-3.05,-10.86
-4,-4,-2.6,-0.75,-0.57,-0.19,-0.37,-0.54,-0.59,-0.93,4,4,4,4,1.73,1.63,1.36,1.42,1.67,1.91,1.35,3.42,0.22,0.74,1.35,0.69,0.38,0.42,0.25,0.07,335.02,-95.4,-28.5,-57.37,-94.18,-58.35,-74.1,-71.23,35.83,-44.37,-226.68,-132.14,227.54,-57.98,-9.09,34.85,13.67,-18.31,-52,-34.18,1052.12,765.5,505.98,54.26,-47.36,-51.45,-99,-120.73,-189.15,-275.57
-2.7,-1.36,-1,-0.26,-0.23,-0.18,-0.34,-0.6,-0.93,-1.05,4,2.59,0.85,1.41,0.95,1.12,1.34,1.72,2,2.57,1.48,2.39,0.33,-0.17,0.95,0.82,0.29,0.26,0.55,0.47,243.84,-50.05,-25.09,97.35,-172.85,-105.9,-44.62,-200.07,-365.6,-289.98,-304.99,-8.12,225.59,-7.45,20.26,57.01,57.5,63.17,11.17,-95.4,525.82,-87.4,18.55,23.07,-22.71,-38.02,-111.88,-174.44,-206.67,-295.53
-4,-0.5,-2.35,-0.58,-0.62,-0.58,-0.66,-0.58,-0.75,-0.84,4,4,0.17,0.87,0.95,0.8,0.69,1.09,1.53,1.67,0.56,3.04,1.98,-0.02,-0.35,0.11,0.27,0.15,-0.03,-0.13,5.68,-44.49,-0.43,161.93,-46.45,-120.54,-119.45,-92.65,-24.78,-64.94,200.13,-203,-43.52,136.6,76.9,24.11,24.54,31.19,11.96,-28.5,474.98,581.36,-372.07,31.37,-65.19,-117.07,-103.27,-103.76,-176.45,-226.14
-3.51,-4,-4,-4,-4,-2.64,-1.05,-0.53,-0.02,-0.03,-3.36,-3.02,0.45,4,4,4,3.98,1.62,1.22,1.12,1.23,2.13,2.01,3.99,4,-0.28,0.93,1.09,0.49,0.29,-134.58,158.33,360.53,460.33,75.2,-158.33,4.88,-84.78,-44.92,-109.99,214.29,71.04,-65,-327.09,-233.89,214.78,-130.37,16.17,41.38,38.21,-5.49,527.77,1031.49,1118.71,670.23,529.54,62.56,-33.87,-38.7,-80.93
-3.83,-4,-4,-4,-4,-2.32,-0.7,-0.64,-0.28,-0.25,-3.87,-2.17,1.6,4,4,4,2.94,1.38,1.25,1.01,1.01,1.8,2.79,4,3.29,1.05,1.54,0.61,0.48,0.51,-75.2,264.59,392.09,466.43,-310.18,62.13,8.79,39.49,0.18,-73.91,37.66,-66.53,-359.68,-612.98,-44.25,43.82,69.4,41.2,38.76,54.14,143.25,749.39,1087.46,974.79,645.45,235.17,27.4,33.63,9.09,-19.17
-3.09,-4,-4,-4,-4,-3.03,-1.15,-1.07,-0.31,-0.34,-3.28,-2.24,0.85,4,4,4,3.24,1.06,1.5,1,0.82,2.12,2.83,4,4,1.54,2.52,0.38,0.21,0.7,-44.37,161.62,561.95,635.99,-81.97,138.67,-58.78,128.3,9.52,-143.74,36.62,-6.59,-237.61,-515.87,-135.38,-101.56,72.94,52.31,20.87,53.04,133.36,632.32,1078.06,1065.25,764.83,520.39,35.52,52.06,52.19,8.42
-3.81,-4,-4,-4,-4,-1.15,-0.35,-0.46,0.03,-0.04,-2.92,-2.13,1.4,4,4,4,3.38,1.14,0.99,0.95,1.75,1.96,1,3.75,4,1.02,1.56,0.88,0.95,1,-213.2,202.09,341.74,322.88,-184.33,96.37,-26.73,27.4,-88.62,-117.25,126.22,132.08,-74.4,-486.69,-93.26,1.16,7.26,1.95,14.95,14.89,216.98,637.08,972.78,869.2,832.76,412.41,70.74,21.24,19.1,2.5
-4,-4,-4,-4,-1.55,-0.47,-0.36,-0.24,-0.27,-0.29,-3.24,0.33,4,4,4,2.5,1.25,0.88,0.87,1.02,2.12,3.42,4,2.86,2.29,2.06,1.26,0.97,0.85,0.78,88.38,507.39,616.88,-141.24,62.19,-23.93,7.87,-45.04,-111.76,-110.66,-55.73,-177.55,-385.07,-86.61,-84.35,-4.15,34.97,49.74,51.94,55.42,694.52,974.12,821.59,589.05,211.73,22.58,-27.71,-46.45,-62.07,-90.52
