0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-3.38,-4,-4,-4,-4,-3.61,-0.86,0.61,0.72,0.91,2.8,4,4,3,-4,-3.13,-1.32,0.15,0.37,0.41,-1.51,-0.45,-1.66,0.07,-3.44,-0.42,0.9,-0.03,-0.97,-0.81,39.79,49.07,336.61,-273.25,381.41,-168.46,88.75,80.26,76.97,12.15,108.34,126.4,424.01,591.43,-243.71,5.43,-184.33,27.34,72.14,0.06,-52.98,-536.99,-1606.87,-1992.37,-695.31,-129.33,200.2,184.51,134.28,169.07
-4,-4,-4,-4,-4,-4,-1.6,0,0.51,0.43,1.42,4,4,4,-3.94,-3,-2.41,-0.84,-0.23,-0.24,-1.82,-2.23,0.66,-3.78,-4,-2.05,0.56,0.9,-0.57,-1.19,495.3,229.13,-146.73,429.57,143.86,98.75,-32.23,50.96,95.76,26.92,286.74,282.17,326.42,697.51,342.22,-252.32,-84.72,3.54,135.62,108.34,173.83,155.46,-1148.25,-2000,-1466.61,-270.75,56.52,143.74,138.06,212.71
-3.92,-4,-4,-4,-4,-4,-0.68,0.56,0.36,0.61,1.56,3.73,4,4,-2.99,-3.09,-1.23,-0.4,-0.49,-0.41,-3.2,-1.59,-2.53,-4,-2.78,-3.06,-0.67,1.14,-0.06,-1.11,303.41,-113.1,139.4,234.74,483.83,53.83,-95.76,-29.91,57.56,63.54,429.87,165.77,262.45,104.25,30.46,-19.9,-56.27,-132.93,120.42,77.33,77.33,-655.94,-1427.06,-1972.17,-1746.58,-192.5,143.92,62.93,20.39,112.85
-4,-4,-4,-4,-4,-4,-2.33,0.02,0.46,0.31,1.59,4,4,4,-2.13,-2.44,-1.58,-0.57,-0.51,-0.68,-2.64,-3.53,-3.37,-4,-3.93,-1.72,0.14,0.48,-0.48,-0.73,199.22,101.07,247.56,452.88,494.63,-19.84,-10.07,56.09,54.26,45.41,274.78,349.12,336.85,362.79,25.7,-27.34,-89.17,-95.58,118.47,22.09,1.34,-569.09,-1526.06,-2000,-1271.12,-378.66,127.62,165.59,113.71,160.03
-4,-4,-4,-4,-4,-3.84,-1.42,-0.22,0.11,0.04,4,4,4,-0.48,-1.58,-2.53,-1.57,-0.64,-0.37,0.07,-3.53,-3.14,-4,-4,-2.01,1.04,1.75,-0.51,-0.32,-0.42,115.91,226.56,552.19,394.53,-280.09,-193.18,99.12,177.49,77.82,58.11,261.96,306.15,408.14,104.61,123.41,-208.62,-29.17,118.16,-7.08,25.94,-279.05,-1129.33,-2000,-1500.73,-423.16,56.27,134.52,146.18,230.41,297
-4,-4,-4,-4,-3.98,-0.49,0.37,0.11,0,-0.29,3.93,4,4,-3.38,-1.14,-0.93,-0.64,-0.91,-0.45,-0.17,-2.37,-2.66,-3.22,-4,-1.66,0.59,0.94,-0.7,-0.84,-1.11,60.85,293.64,452.58,442.38,-231.75,-147.46,-53.28,89.36,104.13,18.92,306.21,350.34,324.22,98.33,26.37,-100.04,76.6,165.16,38.09,98.08,-747.25,-1678.53,-1999.39,-689.94,17.27,202.33,114.26,51.45,183.65,282.35
-4,-4,-4,-4,-2.46,-0.54,-0.2,0.23,0.49,0.12,4,4,-2.76,-2.29,-2.29,-0.92,-0.74,-0.73,-0.11,-0.24,-2.47,-4,-3.82,-2.13,0.49,1.48,0.04,-0.23,-0.18,-0.93,275.39,513.92,101.26,-46.08,-12.27,41.75,125.24,73.61,15.01,115.78,454.9,689.7,130.25,59.57,-187.68,-52.73,104.8,-0.79,43.4,87.59,-1120.91,-1968.81,-1251.46,-518.86,-116.94,25.82,8.73,113.16,149.72,211
-4,-4,-4,-3.97,-1.28,0.22,0.29,0.52,0.3,-0.17,4,2.15,-4,-2.36,-1.35,-0.52,-0.92,-0.52,-0.21,-0.74,-3.74,-2.52,-2.95,-1.63,0.22,1.23,-0.38,-0.73,-0.61,-0.78,392.52,232.67,40.28,-229.86,32.29,-16.91,58.84,53.16,4.27,64.21,-77.03,80.81,-81.91,150.33,-289,-139.34,151.12,3.72,-19.41,18.8,-1973.33,-1990.42,-853.27,-86.24,114.32,170.23,63.17,146.73,176.03,193.66
-4,-4,-4,-4,-1.92,0.2,0.78,0.45,0.29,-0.43,4,4,-2.13,-4,-0.94,0.09,-0.12,-0.53,-0.06,-0.39,-4,-1.67,-4,-2.82,-0.68,1.54,-0.4,-0.45,-0.71,-1.29,382.02,207.58,697.88,-140.26,-70.74,-57.8,-29.11,-29.85,-7.02,-5.92,-7.93,38.15,43.09,233.22,-321.35,-99,136.84,26.18,21.24,39.86,-1700.56,-1999.27,-1019.47,-146.24,294.31,201.6,85.27,108.83,180.18,275.57
-4,-4,-4,-4,-3.56,-0.53,0.54,0.45,0.28,-0.11,4,4,1.15,-2.17,-2.16,-0.32,-0.23,-0.38,-0.1,-0.41,-4,-4,-4,-0.76,0.69,1.28,-0.04,-0.18,-0.54,-0.81,410.71,48.65,471.92,-87.1,-52.92,76.35,110.96,92.59,80.93,9.28,82.52,81.54,-194.64,28.56,-80.02,-125.61,60.12,-2.38,2.62,105.04,-1706.6,-2000,-1110.9,-431.82,38.76,224.61,180.11,172.61,229.43,341.92
-4,-4,-4,-4,-0.99,0.03,0.01,0.29,0.22,-0.17,4,2.37,-1.33,-2.45,-0.67,-0.68,-1,-0.68,-1,-0.81,-4,-1.58,-3.73,-1.05,2.08,0.63,-0.97,-0.81,-0.81,-0.56,542.97,25.45,324.95,-247.56,-119.32,81.54,115.97,46.2,49.07,47.3,53.65,-76.48,-14.77,146.61,-127.32,118.71,40.59,11.96,10.38,-20.2,-1937.07,-1965.45,-942.75,-254.27,75.44,-67.57,-13.37,33.75,42.3,96.19
-4,-4,-4,-4,-4,-4,-1.61,0.49,0.49,0.24,1.06,3.3,4,4,-2.68,-2.72,-0.8,-0.3,-0.68,-0.65,-2.57,-2.31,-3.32,0.4,-3.07,-1.76,0.42,0.28,-0.78,-0.93,21.42,12.33,280.15,173.83,400.51,-246.28,27.4,-73.85,57.92,91.67,101.32,1.04,-121.28,10.8,73.85,207.52,-272.83,68.12,90.64,15.5,-210.27,-851.2,-1998.05,-1999.76,-1054.93,-93.02,204.16,102.05,10.68,56.09
