0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-4,-4,-4,-2.55,-0.38,-0.54,-0.51,-0.82,-0.75,-0.79,-2.22,1.45,4,4,3.8,2.03,2.03,1.45,1.27,1.17,-0.97,-0.6,-2.51,-2.8,-1.46,0.25,0.39,-0.22,-0.72,-0.56,160.46,181.58,757.51,640.01,-229.19,13.43,8.3,113.34,93.26,15.14,710.21,430.6,432.56,-187.62,24.23,-86,-18.37,49.56,23.13,13.18,552.92,1034.67,550.35,520.2,196.29,101.2,102.23,-18.68,-17.03,-41.5
-3.4,-4,-4,-4,-4,-0.07,-1.17,-0.56,-0.58,-1.03,-2.87,-3.22,0.35,4,4,4,-0.64,2.58,1.55,0.76,2.2,3.58,3.88,4,-2.87,-2.6,-0.29,0.06,-0.29,-0.29,64.94,323.43,569.15,454.16,661.62,72.63,36.13,84.23,32.17,25.21,360.72,432.13,289.31,113.89,158.2,1.22,-182.07,-99.61,42.79,39,173.77,446.23,1035.52,1167.72,304.99,64.7,41.38,72.81,-98.82,-131.29
-3.23,-4,-4,-4,-4,-1.98,-1,-0.71,-0.95,-1.05,-2.18,-2.19,-1.8,-1.26,4,4,3.88,2.07,1.58,1,1.97,2.53,-0.52,-3.9,-4,-4,-1.13,0.77,0.42,-0.31,-143.8,-177.73,-57.8,243.84,859.31,554.38,-213.38,46.88,56.03,117.49,470.28,991.21,1375.37,970.52,522.64,-159.42,-176.64,-154.17,-9.77,34,0.12,82.64,220.21,590.64,892.76,541.14,223.94,120.91,75.62,46.08
-4,-4,-0.78,-0.9,-0.37,-0.11,-0.2,-0.34,-0.67,-0.84,1.07,4,4,1.14,2.34,2.45,1.72,1.69,1.8,1.79,-3.09,-4,-4,-1.48,-0.69,-0.57,-0.39,-0.83,-0.89,-0.63,527.65,648.62,587.59,-241.58,157.9,60.3,78.49,147.22,69.46,63.6,718.2,504.21,-50.84,95.76,-61.1,-5.07,20.2,61.16,11.23,-48.77,591.31,763.85,330.93,149.29,171.26,149.6,68.66,-5.98,-53.59,-85.21
-4,-4,-4,-1.32,-1.42,0.12,-0.36,-0.81,-0.91,-1.21,2.34,4,4,4,2.36,4,2.35,1.67,2.02,1.99,1.33,4,2.85,-3.73,-0.77,0.58,-0.08,-0.68,-0.33,-0.56,585.94,629.94,329.53,352.78,44.19,14.65,48.77,2.26,-12.63,-15.26,153.99,-151.67,130.25,-84.41,-51.76,-68.24,18.01,27.47,22.03,-10.62,777.53,1148.38,1089.54,-255.55,302.98,189.27,-72.94,-41.81,-79.83,-152.47
-4,-4,-4,-2.51,-1.9,-0.45,-0.98,-0.94,-0.79,-0.77,-3.23,0.98,4,3.09,1.83,4,1.67,1.4,1.64,1.66,-1.88,-0.35,-3.76,-2.69,0.41,1,0.46,-0.43,-0.24,-0.05,-471.68,901.12,889.04,-202.03,36.01,66.16,83.19,145.94,43.82,53.34,1407.1,381.96,65.31,-149.96,-108.34,-88.5,64.09,11.66,19.71,5.55,-5.86,370.24,1211.3,-100.59,309.27,195.92,-65.55,-17.03,-44.07,-83.31
-4,-4,-4,-1.92,-1.06,-0.06,-0.08,-0.25,-0.73,-0.87,2.06,4,4,4,2.08,3.12,2.69,2.18,1.77,1.73,1.33,0.78,-1.36,-3.92,0.25,0,-0.23,-0.55,-0.84,-0.36,594.97,295.1,686.83,388.98,-327.09,164.61,53.71,-1.04,50.66,16.66,570.01,570.13,348.14,-121.83,-57.5,-46.33,7.39,73.61,72.14,13.18,865.3,1234.68,920.29,61.4,272.95,154.48,54.02,-42.11,-109.5,-109.92
-4,-4,-4,-4,-3.17,-2.21,-0.21,-0.09,-0.52,-0.36,-2.53,-1.94,0.72,4,4,1.07,2.7,2.3,1.8,2.07,1.38,1.12,1.85,1.07,-2.46,-2.1,-0.26,-0.35,-1.01,-0.72,251.22,373.05,381.23,113.16,400.94,77.51,56.7,70.43,21.12,44.31,195.56,304.99,95.15,296.08,136.17,17.88,-21.73,10.07,62.07,-0.18,327.33,690,998.35,1066.77,200.2,53.89,148.38,9.64,-15.56,-73.91
-4,-4,-4,-2.03,-1.3,-0.37,-0.34,-0.62,-0.83,-1.04,1.32,2.96,4,2.18,1.57,3.44,1.94,1.34,1.66,1.72,-2.42,-2.51,-1.45,-2.52,-0.91,-0.55,-0.32,-0.91,-0.93,-0.86,-64.39,55.6,762.51,14.95,49.93,66.35,54.44,102.36,103.64,113.77,1041.44,473.33,114.44,-32.71,-30.52,-84.72,-38.02,13,-44.07,-52.98,998.9,832.89,641.72,-13.67,210.08,163.27,-40.28,-62.44,-97.9,-185.3
-4,-4,-4,-1.16,-1.22,-0.08,-0.31,-0.43,-0.42,-0.89,-4,1.06,4,4,1,2.72,1.51,0.95,1.63,1.55,-2.07,-1.32,-4,-4,-2.57,-1.88,-1.04,-1.06,-1.18,-1.05,-230.65,640.14,572.39,173.71,-122.13,142.76,-22.95,90.15,225.65,150.7,1284.79,513.43,552.98,46.2,102.11,-69.46,-29.11,-32.17,-89.11,-86.98,53.16,498.78,749.33,82.52,163.39,126.28,41.02,5.31,-62.44,-131.47
