0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-2.71,-4,-4,-4,-4,-4,-4,-3.63,-2.97,-2.35,4,4,4,4,4,1.13,-0.61,-1.11,-1.27,-1.25,0.59,-0.29,-1.84,-2.08,-2.35,-0.9,0.82,0.68,0.85,1.11,36.32,177.19,98.45,200.99,153.63,-147.64,-64.51,27.04,-45.47,-53.28,31.01,52.67,29.17,-95.64,-20.87,-50.29,-154.6,-10.13,46.51,12.27,-233.28,-485.96,-906.31,-1225.77,-1234.5,-909.36,-488.34,-260.19,-124.15,19.96
-3.38,-4,-4,-4,-4,-4,-4,-3.19,-2.59,-1.98,4,4,4,4,3.13,-0.43,-1.31,-0.97,-0.85,-0.83,-0.26,-2.42,-3.36,-4,-3.53,-0.56,0.54,0.94,0.84,0.45,158.14,268.43,216.55,229.25,-7.87,-207.82,161.8,67.2,10.93,12.88,72.69,122.56,61.89,-58.29,-150.45,-303.65,-198.73,8.24,139.53,93.38,-217.9,-530.4,-1224.43,-1322.94,-1223.33,-739.44,-303.1,-110.72,17.03,105.9
-3.32,-4,-4,-4,-4,-4,-3.45,-2.2,-1.71,-1.39,4,4,4,4,-0.26,-1.23,-0.6,0.02,-0.3,-0.68,-2.78,-4,-4,-4,-3.38,0.44,0.38,0.2,0.78,1,498.84,482.48,580.32,462.71,-221.44,203.74,60.73,18.37,43.27,50.48,137.82,164.79,-116.09,79.1,23.68,-378.6,87.71,140.69,45.29,58.96,-225.16,-949.22,-1206.18,-1392.7,-933.47,-478.52,-181.4,-45.1,42.85,150.21
-2.7,-3.99,-4,-4,-4,-4,-4,-4,-2.37,-1.44,4,4,4,4,4,1.61,-0.42,-1.9,-1.43,-0.47,0.8,-1.53,0,0.47,-0.09,1.32,3.06,1.79,1.8,1.34,181.88,134.4,-328.98,128.11,-91.19,-651.49,-65.19,-91.98,24.11,123.9,143.01,175.29,-52.61,-207.21,-24.96,-197.94,-331.67,-54.69,84.78,104.74,-129.39,-506.65,-794.92,-1464.48,-1426.21,-1117.31,-527.22,-321.11,25.7,137.39
-3.01,-4,-4,-4,-4,-4,-4,-3.29,-2.35,-1.78,3.99,4,4,4,4,-1.14,-2.92,-1.62,-1.75,-1.24,0.92,0.4,1.53,-0.8,-1.16,-1.59,1.22,0.61,0.57,0.73,-38.45,-154.54,-134.03,217.16,260.07,-233.76,134.46,141.85,3.72,8.67,117.25,-16.11,-185.49,-124.15,-16.91,53.04,-200.26,17.15,108.34,100.1,-156.8,-454.59,-1066.35,-1353.15,-1401.98,-1063.72,-424.68,-188.96,-25.39,148.8
-3.33,-4,-4,-4,-4,-4,-4,-3.49,-2.28,-1.79,4,4,4,4,3.48,-1.69,-1.79,-1.84,-1.09,-0.61,-0.07,-2.6,-2.35,-2.8,-2.25,0.77,0.62,0.73,0.81,0.62,141.72,311.52,32.65,326.6,39.31,-294.74,109.99,-7.81,52.67,9.7,167.85,161.8,-107.3,-156.98,17.27,-226.75,-22.95,51.76,73.91,120.67,-203.25,-546.94,-1130.07,-1376.65,-1285.95,-844.85,-370.18,-149.35,84.17,219.42
-4,-4,-4,-4,-4,-3.78,-2.49,-1.94,-1.66,-1.78,4,4,4,-1.17,-2.22,-2.07,-1.37,-1.32,-0.82,-0.18,-1.09,-0.83,-2.87,-1.02,0.11,-0.39,0.18,0.47,0.62,0.75,71.11,250.31,19.35,47.06,88.07,43.27,-0.85,2.26,-2.81,-71.53,173.16,79.47,152.34,-232.54,-77.64,5.98,18.43,-59.81,-86.91,-56.09,-827.09,-1431.88,-1394.96,-947.63,-696.17,-237,-23.62,74.89,216.8,305.11
-4,-4,-4,-4,-4,-4,-2.22,-1.61,-1.1,-1.38,4,4,4,1.35,-1.55,-1.81,-0.88,-0.86,-0.35,-0.35,-0.03,0.01,0.73,1,1.34,0.1,0.64,0.37,0.78,1.09,-217.35,-15.44,48.58,-441.35,101.5,42.18,-4.64,-33.14,18.07,28.63,182.86,-46.94,73,-73.79,-93.38,-36.99,-46.69,26.67,-63.17,-55.24,-943.73,-1414.79,-1560.3,-1215.82,-770.45,-211.36,-29.54,52.12,179.81,267.64
-4,-4,-4,-4,-4,-4,-4,-4,-2.68,-1.75,4,4,4,4,4,-0.24,-1.16,-1.9,-0.89,-0.41,-0.92,-1.33,-2.62,-1.46,-3.09,-0.04,-0.06,0.79,0.8,0.79,261.05,45.65,328.86,176.51,107.42,-33.63,24.23,3.85,-28.87,-57.8,238.71,284.73,234.56,162.6,110.84,-10.31,23.01,41.38,78.8,85.08,-298.77,-707.46,-1192.26,-1636.84,-1269.17,-906.68,-435.55,-62.56,106.81,208.92
-2.86,-4,-4,-4,-4,-4,-4,-4,-2.83,-1.82,4,4,4,4,4,3.35,-1.59,-1.33,-0.78,-0.08,-0.91,-2.86,-4,-4,-4,-1.76,1.19,0.77,0.36,0.77,114.38,414.79,150.02,455.38,412.6,-107.54,-132.57,63.96,61.1,-9.95,166.5,218.02,231.63,-29.24,-32.96,46.2,-108.4,-16.85,12.88,7.26,-138.79,-232.36,-908.51,-1472.05,-1448.12,-1349,-357.3,-254.15,-8.67,113.28
-2.73,-4,-4,-4,-4,-4,-4,-4,-3.05,-1.93,4,4,4,4,4,2.58,-0.56,-1.44,-1.51,-0.4,0.59,0.23,-1.81,-3.49,-3.53,-2.8,0.73,0.67,0.64,0.7,196.78,118.23,178.71,287.9,241.94,-4.03,50.11,-24.9,52.49,72.75,92.53,179.44,310.61,71.78,118.41,-26.12,-51.27,2.5,-13.06,74.77,-40.47,-258.91,-704.96,-1377.32,-1517.21,-1244.63,-383.18,-309.39,-49.8,147.64
-2.74,-4,-4,-4,-4,-4,-4,-4,-2.67,-1.87,4,4,4,4,4,3.13,-0.41,-0.97,-0.67,-0.18,-0.52,-1.97,-4,-4,-4,-2.26,0.78,0.7,0.83,0.82,131.59,147.22,456.85,525.39,145.02,18.98,31.43,25.94,20.94,9.22,30.27,104.37,110.35,29.72,-141.42,-203.74,-92.04,30.27,79.1,95.46,-119.2,-372.99,-879.7,-1469.18,-1448.43,-1249.08,-328.12,-195.43,-15.2,131.47
-3.45,-4,-4,-4,-4,-4,-4,-3.41,-2.48,-1.72,3.56,4,4,4,4,0.48,0.24,-0.45,-0.67,-0.13,-0.3,-1.07,-1.64,-2.88,-1.11,0.45,1.83,1.18,1.15,1.06,136.23,119.32,179.75,302.06,-171.57,-425.84,-27.4,-21.48,13.85,31.25,188.84,115.23,88.62,114.99,120.42,-187.13,-231.32,-77.64,5.19,64.58,-263.24,-522.09,-1148.86,-1530.46,-1315.92,-866.58,-362.85,-222.23,-13.43,108.46
-3.45,-4,-4,-4,-4,-4,-3.99,-2.68,-1.34,-0.91,3.55,4,4,4,0.97,-2.24,-2.55,-2.1,-1.09,-0.62,-0.4,-1.8,-2.15,-2.91,-3.07,1.25,0.22,0.4,0.94,1.74,303.59,259.7,2.75,324.52,60,-277.71,156.62,19.29,-56.46,-57.86,229.8,260.25,179.38,110.72,104.06,-226.68,-98.02,-45.35,5.07,13.61,-114.32,-342.9,-783.75,-1297.97,-1414.25,-588.38,-333.44,-129.27,38.09,59.27
-2.67,-4,-4,-4,-4,-4,-4,-2.96,-2.1,-1.56,4,4,4,4,2.82,1.3,-0.15,-0.78,-0.63,-0.53,-0.68,-2.72,-4,-2.74,-1.94,1.26,2.55,1.43,1.06,0.71,-4.09,198.06,496.77,167.79,-330.99,-247.92,-145.63,62.56,173.77,161.93,33.2,163.15,68.42,87.59,-26.55,-160.58,-113.46,86.55,16.17,45.53,-222.35,-613.28,-1190.19,-1460.02,-1078.19,-784.42,-275.39,-25.94,39,181.7
-2.82,-4,-4,-4,-4,-4,-4,-4,-3.32,-2.6,3.97,4,4,4,4,4,0.35,-0.62,-0.23,-0.1,0.76,0.84,0.2,-0.55,-1.24,-2.69,-0.55,-0.69,0.35,0.41,28.87,-62.32,4.21,139.04,150.88,48.77,-48.52,132.32,-10.86,-23.38,42.11,7.51,57.31,-59.69,-11.41,-122.07,-177.43,-127.26,-15.63,66.35,-146.67,-379.82,-884.22,-1351.87,-1555.42,-1413.82,-922.49,-380.68,-79.65,2.62
-3.36,-4,-4,-4,-4,-4,-4,-3.97,-2.25,-1.47,4,4,4,4,3.89,0.06,-2.54,-2.69,-1.38,-0.5,-0.72,-0.82,-0.35,1.99,0.39,2.08,2.44,1.34,1.33,1.15,131.1,-169.8,-161.19,17.09,-49.99,-426.21,92.71,63.48,-15.75,6.41,151.18,25.27,-480.35,-489.26,-276.79,-372.74,-208.74,-130.37,12.51,83.37,-257.39,-531.56,-845.34,-1343.81,-1312.62,-1025.27,-552.92,-182.31,51.82,138.06
-3.03,-4,-4,-4,-4,-4,-4,-3.49,-1.97,-1.18,3.72,4,4,4,4,0.49,-2.24,-1.15,-0.33,-0.15,0.48,0.01,-1.01,-1.82,-1.76,-0.33,1.83,0.42,0.66,1.15,123.41,14.47,-18.49,287.78,80.44,-354.98,11.47,51.33,-3.91,-1.22,90.15,58.59,61.4,-83.31,94.54,-109.62,-220.83,-17.27,44.74,58.23,-215.52,-423.22,-1022.4,-1575.99,-1497.62,-1127.93,-505.86,-93.38,91.8,149.78
-3.65,-4,-4,-4,-4,-4,-4,-4,-2.88,-1.99,3.83,4,4,4,4,3.52,-2.03,-1.4,-0.76,0.33,0.45,-0.99,-3.33,-3.87,-3.93,-1.44,1.74,1.36,1.01,1.01,-77.58,107.42,322.39,65.61,358.95,-303.34,-76.72,48.71,-22.58,-2.87,111.94,222.9,251.65,45.96,-1.59,-23.86,-343.38,-73.36,75.38,79.65,-233.09,-459.78,-959.84,-1389.1,-1464.17,-1371.4,-475.71,-176.09,93.57,259.52
-3.09,-4,-4,-4,-4,-4,-4,-2.27,-1.11,-0.85,4,4,4,4,2.3,-1.35,-1.65,-0.91,-0.16,-0.14,-0.59,-0.32,-1.31,-1.66,-0.71,3.05,1.74,0.97,0.88,0.88,284.79,-46.45,-44.13,72.08,-267.94,-350.59,10.62,50.54,31.07,-18.37,165.53,162.05,123.72,-16.85,-62.93,-237.37,-55.11,-22.16,33.75,90.33,-156.07,-503.48,-1084.23,-1541.87,-1526.49,-630.19,-225.95,-25.27,65.37,98.02
-2.63,-4,-4,-4,-4,-4,-4,-3.04,-2.27,-1.66,4,4,4,4,4,0.72,0.23,-0.82,-0.65,-0.37,-0.77,-1.31,-1.41,-1.44,0.36,2.36,1.49,1.49,1,0.74,168.76,258.18,274.05,-127.87,-282.96,-152.59,8.36,-0.31,-75.01,-8.36,78.67,115.05,109.19,130.8,-86.06,-157.78,-68.48,-11.17,198.55,87.4,-244.75,-657.78,-1392.64,-1397.22,-1165.04,-717.9,-230.9,-124.33,103.52,212.28
-2.98,-4,-4,-4,-4,-4,-4,-3.77,-2.52,-1.82,4,4,4,4,4,0.94,-0.68,-1.17,-0.88,-0.66,0.46,-1.91,-2.62,-2.23,-2.03,0.94,2.01,0.12,0.33,0.8,21.18,307.07,179.87,198.18,243.16,-685.79,233.52,229.43,-49.5,-96.37,111.33,379.76,103.76,93.93,149.54,31.68,-213.38,3.11,-0.79,-47.42,-148.8,-445.31,-1006.59,-1468.02,-1508.67,-729.37,-419.98,-261.96,-6.84,127.81
-2.68,-4,-4,-4,-4,-4,-4,-3.54,-2.54,-1.95,4,4,4,4,4,1.63,-0.09,-1,-0.98,-0.23,-0.78,-2.6,-3.42,-3.41,-2.73,-0.83,1.96,1.04,0.92,0.83,181.34,281.13,278.44,367.25,-46.02,-173.46,-131.59,106.63,-49.5,28.32,161.32,193.12,214.6,-26.43,62.62,-47,-201.66,-119.69,85.08,41.02,-84.53,-296.26,-1086.06,-1551.7,-1352.11,-1177,-209.23,-173.95,14.95,186.46
-2.94,-4,-4,-4,-4,-4,-3.37,-3.03,-1.93,-1.3,4,4,4,4,4,-0.34,0.39,-0.6,-0.48,0.1,-0.67,-1.09,-2.3,-1.48,-0.72,2.22,1.52,1,0.58,0.66,269.71,202.27,402.65,160.16,-210.14,-337.95,64.64,67.93,-12.21,23.56,197.81,243.16,217.71,135.86,278.02,-146.73,-138.98,37.23,127.26,35.83,-162.48,-532.53,-1302,-1557.01,-1473.14,-347.35,-188.05,-160.46,93.02,215.15
-3.73,-4,-4,-4,-4,-4,-3.43,-2.72,-2.09,-1.52,4,4,4,4,2.91,-0.43,-0.48,-0.99,-0.62,-0.17,-1.61,-2.5,-3.89,-3.41,-1.5,2.19,1.49,0.91,0.72,0.61,178.96,219.36,436.4,132.75,-286.07,-461,184.88,28.44,34.91,13.79,162.66,143.74,121.15,36.5,46.51,-316.28,-184.33,62.07,14.83,42.85,-209.23,-890.14,-1372.44,-1348.14,-1273.62,-236.02,-198.49,-110.53,88.13,198.67
