0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,,
0.56,0.59,0.79,0.38,0.62,0.52,0.78,0.74,0.77,0.81,3.18,-0.67,-1.55,2.25,0.76,-2.33,0.73,2.32,-0.38,-0.31,-2.03,-0.35,1.16,-1.2,-0.77,0.29,-0.46,-1.34,-0.39,0,276.92,5.68,-169.56,236.51,31.43,-166.56,71.29,48.95,-44.49,-19.53,127.69,-120.3,-78.43,208.25,-19.53,-119.14,153.56,52.8,-55.54,-9.34,351.81,-385.62,59.08,480.83,-308.04,-293.21,261.05,123.47,-164.31,25.39,0,0,1
0.34,-0.72,-1.04,-0.06,0.33,0.45,-0.17,0.64,0.81,0.97,1.22,1.21,-1.06,0.67,0.38,1.63,-0.71,0.17,-0.33,0.58,-4,-3.53,2.26,3.88,-1.73,-4,0.77,3.32,-0.97,-2.34,150.33,20.51,-203.8,113.22,117.92,55.36,-98.33,-17.27,54.87,64.7,671.94,-457.34,-828.19,139.4,810.18,220.95,-680.6,20.69,412.35,119.02,20.2,-123.9,-262.02,110.96,3.42,17.82,-175.6,9.7,-0.98,67.93,0,0,1
-0.63,0.44,-0.68,0.43,0.28,-0.25,0.48,0.03,0.52,0.33,3.56,3.81,0.67,-2.85,-2.55,1.63,4,1.11,-1.66,-2.28,0.96,0.37,0.1,0.62,-0.12,0.19,0.49,0.25,1.19,0.16,121.89,-99,-443.18,94.91,325.26,232.3,41.02,-521.97,-100.16,254.76,-74.71,96.13,18.31,-44.92,41.81,-146,-70.19,-142.15,-110.05,114.5,902.28,-156.01,-786.07,-637.21,421.33,761.9,143.25,-602.78,-516.78,366.52,0,0,1
-0.89,-1.62,-1.64,-3.38,0.06,0.41,-1.53,-0.34,-0.39,0.99,-1.6,2.57,4,0.34,-1.14,-3.5,-1.46,2.39,1.17,-0.94,-2.86,-3.1,0.77,2.83,4,2.51,-2.79,-1.68,2.55,2.96,362.85,26.79,159.85,-452.33,-279.24,-134.95,872.56,352.42,-102.48,-139.71,664.49,-157.04,-868.29,-884.7,-462.22,493.16,957.21,-531.01,-670.96,-23.99,200.13,743.29,93.32,-817.57,-671.69,-647.71,245.42,447.39,-213.38,-393.49,0,0,1
0.34,0.4,0.44,0.28,0.09,0.77,0.56,0.71,0.76,1.09,3.04,1.56,-1.22,-2.91,1.04,2.62,1.78,-2.14,0.19,0.63,-1.86,-3.88,-1.17,1.4,1.52,-0.88,-2.52,1.46,0.1,-1.35,695.13,251.95,-286.25,-261.41,81.12,189.76,157.29,-352.17,118.96,134.95,608.15,271.73,-278.44,-286.5,86.3,360.78,54.44,-193.6,163.27,93.63,-14.28,-222.11,-390.08,-48.4,335.21,203.8,-154.24,-248.72,121.89,57.25,0,0,1
0.92,0.32,1.47,-0.13,0.79,0.52,1.12,0.61,0.74,0.75,-3.57,-1.13,3.99,1.02,-3.27,-0.85,3.27,1.05,-1.27,-0.86,-1.76,-1.74,-1.39,0.37,-1.67,-1.05,0.78,-0.67,-0.34,-0.34,299.99,-133.24,-401.67,192.02,220.46,-209.17,-93.32,183.78,-159.12,-112.61,170.65,53.28,11.72,-32.96,24.11,-9.4,-25.02,42.05,-73.91,28.93,-142.76,300.66,187.56,-225.52,-159.24,197.2,62.07,-129.58,-65.25,52.55,0,0,1
4,0.67,-3.54,0.28,4,-0.74,-3.07,-0.32,2.83,1.76,2.09,1.54,-3.2,-0.11,3.97,2.39,-3.9,-1.01,1.96,1.5,-0.8,0.32,0.31,-1.03,0.51,-1.34,-0.62,-0.03,-0.39,-0.51,32.78,-5.68,313.9,-267.7,-45.78,195.86,226.26,-320.25,-34.91,24.05,-99.85,-87.71,-82.03,186.22,-175.78,-77.39,-75.99,191.83,11.23,-23.19,108.64,-360.17,-151.37,240.6,106.63,-480.47,-99,252.01,208.56,-63.48,0,0,1
3.98,4,1.38,-0.1,0.41,0.7,0.8,0.88,0.81,0.88,1.24,1.75,1.01,-0.3,-0.36,-0.22,-0.09,0,0,0.01,-2.02,-1.19,-0.6,-0.32,-0.09,-0.06,-0.1,-0.11,-0.16,-0.16,-132.75,25.27,101.2,72.75,42.42,1.65,-9.95,-5.25,3.97,0.49,432.68,-70.19,-33.2,-162.35,-86.79,-26.49,19.65,-14.59,-21.79,-11.9,35.95,31.98,-295.04,-83.01,-0.49,-2.5,3.6,15.99,6.29,10.13,0,0,1
4,4,0.48,-1.3,-0.37,1.23,1.21,0.82,0.95,1.01,0.54,2.15,1.09,-0.8,-0.32,0.12,-0.1,0,0.01,0.1,-3.21,-1.81,-0.42,0.28,0.51,0.22,-0.16,-0.09,-0.07,-0.01,169.68,-41.02,62.07,15.75,-69.76,15.99,8.91,-4.88,-0.73,-9.83,379.27,-116.33,-233.46,-229.43,42.24,136.35,59.69,-4.03,-16.6,9.28,263.24,-66.96,-345.03,0.49,40.16,79.83,11.41,27.1,32.78,24.66,0,0,1
-4,-0.98,1.55,1.93,1.32,0.69,0.81,1.06,1.12,1.25,-2.47,-0.58,1.11,0.44,0.18,0.22,0.12,0.05,0,0.12,-0.3,-0.01,0.17,-0.91,-0.44,0.16,0.12,-0.21,-0.31,-0.31,157.04,-81.3,-61.83,-55.48,-32.96,-61.46,-17.09,25.27,23.44,1.16,-324.22,68.36,286.87,369.51,17.7,-15.69,8.42,12.08,38.88,-7.87,11.41,253.36,166.99,-3.3,25.15,11.41,31.13,34.36,12.39,4.94,0,0,1
-2.51,-1.59,2.3,2.7,-0.27,-0.41,0.7,1.99,1.26,0.67,-3.75,-2.24,2.23,2.11,-1.1,-1.53,0.25,1.61,0.63,-0.19,-0.68,0.22,-0.44,-1.18,-0.37,0.19,0.01,-0.39,-0.42,-0.19,113.83,-115.23,-61.58,112.18,25.7,-40.04,-20.87,28.56,21.97,19.9,-16.72,77.7,43.7,-22.77,-47.24,-21.91,94.97,13.67,-28.81,-24.48,-153.69,165.04,149.96,-102.97,-125.85,5.43,87.46,22.89,-49.13,-52.73,0,0,1
1.67,2.15,0.53,-0.72,-0.14,1.27,1.41,0.75,0.24,0.65,0.87,3.28,2.78,-2.29,-3.19,1.44,3.42,0.42,-1.55,-1.14,-3.63,-2.1,0.76,1.15,-0.04,-2.69,-0.04,-0.19,0.67,-0.08,-64.09,-39.12,17.15,178.47,19.71,-155.09,1.16,28.02,58.17,-27.71,203.74,-218.32,-61.4,-41.02,143.07,166.32,-143.19,-55.97,-69.15,45.84,357.79,131.1,-273.93,-202.58,161.25,269.41,30.27,-170.47,-106.87,24.05,0,0,1
